corpus,row_id,candidate,group_type,group,claim_support_level,claim_support_label,paper_role,boundary_note
v1 evidence-note corpus,v0-01,Reportable bundle,stratum,positive-control,L3,consumer-admitted/reportable control,mixed-strength positive control,none
v1 evidence-note corpus,v0-02,H2 output-cloud geometry,stratum,mechanism-candidate,L2,scoreable or replayed research-side packet,controlled candidate mechanism,consumer-boundary mismatch
v1 evidence-note corpus,v0-03,SD/CelebA img2img portability,stratum,boundary-negative,L2,scoreable or replayed research-side packet,boundary-negative result,insufficient portability evidence
v1 evidence-note corpus,v0-04,CLiD official inter-output,stratum,positive-non-admitted,L2,scoreable or replayed research-side packet,positive score packet with image-identity gap,row-binding gap
v1 evidence-note corpus,v0-05,Tracing the Roots,stratum,positive-non-admitted,L2,scoreable or replayed research-side packet,positive feature-packet evidence,raw provenance gap
v1 evidence-note corpus,v0-06,CopyMark official score artifacts,stratum,artifact-rich-partial,L1,artifact inspection without row-bound metrics,artifact availability vs auditability case,row-binding gap
v1 evidence-note corpus,v0-07,ReDiffuse STL-10 scout,stratum,bounded-negative,L2,scoreable or replayed research-side packet,bounded negative with clean split,weak second-contract signal
v1 evidence-note corpus,v0-08,CommonCanvas response packet,stratum,bounded-negative,L2,scoreable or replayed research-side packet,second-response negative,weak second-contract signal
v1 evidence-note corpus,v0-09,MIDST Blending++,stratum,bounded-negative,L2,scoreable or replayed research-side packet,cross-domain negative/support,weak second-contract signal
v1 evidence-note corpus,v0-10,Separately supplied SD ReDiffuse,stratum,source-confounded,L2,scoreable or replayed research-side packet,source-confounding case,source confounding
v1 evidence-note corpus,v0-11,Quantile/SecMI public packet,stratum,support-only,L2,scoreable or replayed research-side packet,support-only public score packet,same-family support only
v1 evidence-note corpus,v1-01,Identity-Focused Inference / Extraction,stratum,metadata-only-no-artifact,L0,metadata/search discovery,metadata-only no-artifact case,semantic boundary plus missing row artifacts
v1 evidence-note corpus,v1-02,RAPTA / ADMCD copying mitigation,stratum,metadata-only-no-artifact,L0,metadata/search discovery,metadata-only mitigation watch,copying boundary plus no score artifacts
v1 evidence-note corpus,v1-03,GUARD surgical mitigation,stratum,code-public-no-packet,L1,artifact inspection without row-bound metrics,code-public no-packet case,code-public but no score packet
v1 evidence-note corpus,v1-04,BAF LoRA parameter-space mitigation,stratum,metadata-only-no-artifact,L0,metadata/search discovery,metadata-only mitigation watch,weight-only boundary plus no row artifacts
v1 evidence-note corpus,v1-05,Broken Memories,stratum,metadata-only-no-artifact,L0,metadata/search discovery,metadata-only memorization watch,memorization boundary plus no prompt packet
v1 evidence-note corpus,v1-06,IAR Privacy Attacks,stratum,code-public-no-packet,L1,artifact inspection without row-bound metrics,cross-family no-packet case,out-of-family code-public no packet
v1 evidence-note corpus,v1-07,Silent Brush / Art Arena,stratum,metadata-only-no-artifact,L0,metadata/search discovery,metadata-only semantic-shift watch,style-leakage boundary plus no row artifacts
v1 evidence-note corpus,v1-08,Trajectory Generation Privacy,stratum,metadata-only-no-artifact,L0,metadata/search discovery,cross-domain boundary evidence,cross-domain no score packet
v1 evidence-note corpus,v1-09,Model Will Tell / DRC,stratum,metadata-only-no-artifact,L0,metadata/search discovery,mechanism watch with artifact gap,split-score artifact missing
v1 evidence-note corpus,v1-10,Discrete DLM withdrawn paper,stratum,withdrawn-no-artifact,L0,metadata/search discovery,withdrawn watch only,withdrawn record plus no artifacts
fixed-search batch,fs20260526-github-01,ronketer/diffusion-membership-inference,inclusion_decision,included_existing_gate,L1,artifact inspection without row-bound metrics,course notebook and report repo,already covered by DreamBooth forensics asset verdict; target checkpoint and query set not public
fixed-search batch,fs20260526-github-02,fseclab-osaka/mia-diffusion,inclusion_decision,included_existing_gate,L1,artifact inspection without row-bound metrics,official code-public repository,already covered by FSECLab artifact gate; no frozen checkpoint/score/ROC packet or immutable split manifest
fixed-search batch,fs20260526-github-03,Divya1201/diffusion-privacy-attacks,inclusion_decision,included_new_metadata,L1,artifact inspection without row-bound metrics,small code-public repository,"code-public but no target checkpoint, immutable member/nonmember split, response packet, score rows, ROC array, metric JSON, or verifier output"
fixed-search batch,fs20260526-github-04,no direct GitHub repository hit in fixed query,inclusion_decision,excluded_no_result,L0,metadata/search discovery,no result,fixed query returned no repository records
fixed-search batch,fs20260526-github-05,no direct GitHub repository hit in fixed query,inclusion_decision,excluded_no_result,L0,metadata/search discovery,no result,fixed query returned no repository records
fixed-search batch,fs20260526-github-06,no direct GitHub repository hit in fixed query,inclusion_decision,excluded_no_result,L0,metadata/search discovery,no result,fixed query returned no repository records
fixed-search batch,fs20260526-github-07,no direct GitHub repository hit in fixed query,inclusion_decision,excluded_no_result,L0,metadata/search discovery,no result,fixed query returned no repository records
fixed-search batch,fs20260526-arxiv-01,Membership Inference Attacks against Diffusion Models,inclusion_decision,included_existing_gate,L1,artifact inspection without row-bound metrics,paper plus official code-public repo,duplicate of covered FSECLab line for corpus purposes; retained as fixed-search provenance
fixed-search batch,fs20260526-arxiv-02,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,relevant paper hit but no row-bound public replay surface checked in this batch
fixed-search batch,fs20260526-arxiv-03,Noise Aggregation Analysis Driven by Small-Noise Injection: Efficient Membership Inference for Diffusion Models,inclusion_decision,included_existing_watch,L0,metadata/search discovery,paper metadata from fixed search,already represented in broader Research watch notes; retained as fixed-search provenance
fixed-search batch,fs20260526-arxiv-04,Membership Inference of Diffusion Models,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,relevant paper hit but no row-bound public replay surface checked in this batch
fixed-search batch,fs20260526-arxiv-05,Are Diffusion Models Vulnerable to Membership Inference Attacks?,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,relevant paper hit but no row-bound public replay surface checked in this batch
fixed-search batch,fs20260526-arxiv-06,Enhancing Privacy-Utility Trade-offs to Mitigate Memorization in Diffusion Models,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,memorization/mitigation relevant but not row-bound membership replay evidence in this batch
fixed-search batch,fs20260526-arxiv-07,Investigating Memorization in Video Diffusion Models,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,video memorization semantic boundary; no row-bound membership replay surface checked
fixed-search batch,fs20260526-arxiv-08,How Diffusion Models Memorize,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,memorization mechanism paper surface; no row-bound audit packet checked
fixed-search batch,fs20260526-arxiv-09,Privacy Threats in Stable Diffusion Models,inclusion_decision,included_metadata_only,L0,metadata/search discovery,paper metadata from fixed search,Stable Diffusion privacy paper hit; no fixed public score/response artifact checked
fixed-search batch,fs20260526-arxiv-noise-01,Riddle Me This! Stealthy Membership Inference for Retrieval-Augmented Generation,inclusion_decision,excluded_query_noise,L0,metadata/search discovery,query-noise example,not diffusion MIA despite exact fixed query string
