pilot_id,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,B,Pass,Pass,Pass,Pass,Pass,Pass,admitted,none,"Verified multi-row reportable bundle with evidence level, metrics, quality/cost, limitations, and consumer-facing bundle contract."
E2P-002,B,Pass,Partial,Pass,Pass,Partial,Fail,candidate-only,no admitted row,"Strong H2 output-cloud geometry candidate with response caches and replayed metrics, but note explicitly says no Platform/Runtime contract or admitted row."
E2P-003,B,Partial,Fail,Pass,Partial,Fail,Fail,candidate-only,identity manifest missing,"Official numeric score files exist, but rows cannot be bound to immutable COCO image IDs, captions, split IDs, or public member/nonmember manifest."
E2P-004,B,Partial,Partial,Pass,Pass,Partial,Fail,bounded-support,row-ID-bound manifest missing,"Official CopyMark logs, metric JSONs, and some score tensors support Research-side artifact evidence, but no compact row-bound score manifest or checkpoint hash."
E2P-005,B,Pass,Pass,Pass,Pass,Partial,Fail,bounded-support,weak membership signal,"Bounded local STL-10 scout produced a split and row-level score packet, but AUC is random-level and the note explicitly rejects Platform/Runtime promotion."
E2P-006,B,Partial,Partial,Pass,Pass,Partial,Fail,candidate-only,not a public immutable same-distribution asset,"Transferred 5000-row packet is internally replayable, but collaborator-local provenance and LAION-vs-COCO source-label confounding block admission."
E2P-007,B,Fail,Fail,Fail,Fail,Fail,Fail,candidate-only,no score or response artifacts,"Official code is public and mechanism-distinct, but no row manifest, generated packet, metric JSON, retained-utility table, checkpoint-bound target, or verifier output is committed."
E2P-008,B,Fail,Fail,Fail,Fail,Fail,Fail,blocked,withdrawn paper metadata only,"Current arXiv record is withdrawn, no PDF/current code/artifact packet exists, and the domain boundary is not reviewed for current DiffAudit consumption."
E2P-009,B,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,no checkpoint-bound score packet,"Template reports code, attack scripts, deterministic split construction, and FID stats, but no committed checkpoint-bound score or response packet."
E2P-010,B,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,no committed score or manifest packet,"Repository surface includes scripts and attack/evaluation modules, but template states no committed score packet or manifest packet."
E2P-011,B,Partial,N/A,Fail,Fail,Fail,Fail,candidate-only,arXiv metadata only,"Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence."
E2P-012,B,Partial,N/A,Fail,Fail,Fail,Fail,candidate-only,arXiv metadata only,"Paper metadata alone cannot establish target identity, split, score/response coverage, metric replay, or consumer-ready audit evidence."
E2P-013,B,Partial,Pass,Fail,Fail,Partial,Fail,bounded-support,no score packet,"Public HF dataset exposes member/nonmember shards and row counts for the cited setup, but it is a dataset/split artifact without score or response evidence."
E2P-014,B,Partial,Pass,Partial,Partial,Partial,Fail,bounded-support,no consumer-ready score packet,"Official SecMI implementation and split files are public, with pretrained model links and score/stats paths, but template does not show a committed row-bound audit packet or verifier result."
E2P-015,B,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,no committed reusable score packet,"README describes member/nonmember index generation and loss/likelihood outputs, but template does not show committed score rows, metrics, or a consumer-ready manifest."
