split,implicit_position,emb_file,emb_line_number,vlm_file,vlm_line_number,row_id_type,boundary
train,0,COCO_emb_500images_train_t_[140].txt,2,COCO_blip_500images_train_t_[140].txt,2,implicit_file_position_only,no explicit public row id; not admitted row binding
train,1,COCO_emb_500images_train_t_[140].txt,3,COCO_blip_500images_train_t_[140].txt,3,implicit_file_position_only,no explicit public row id; not admitted row binding
train,2,COCO_emb_500images_train_t_[140].txt,4,COCO_blip_500images_train_t_[140].txt,4,implicit_file_position_only,no explicit public row id; not admitted row binding
train,3,COCO_emb_500images_train_t_[140].txt,5,COCO_blip_500images_train_t_[140].txt,5,implicit_file_position_only,no explicit public row id; not admitted row binding
train,4,COCO_emb_500images_train_t_[140].txt,6,COCO_blip_500images_train_t_[140].txt,6,implicit_file_position_only,no explicit public row id; not admitted row binding
train,5,COCO_emb_500images_train_t_[140].txt,7,COCO_blip_500images_train_t_[140].txt,7,implicit_file_position_only,no explicit public row id; not admitted row binding
train,6,COCO_emb_500images_train_t_[140].txt,8,COCO_blip_500images_train_t_[140].txt,8,implicit_file_position_only,no explicit public row id; not admitted row binding
train,7,COCO_emb_500images_train_t_[140].txt,9,COCO_blip_500images_train_t_[140].txt,9,implicit_file_position_only,no explicit public row id; not admitted row binding
train,8,COCO_emb_500images_train_t_[140].txt,10,COCO_blip_500images_train_t_[140].txt,10,implicit_file_position_only,no explicit public row id; not admitted row binding
train,9,COCO_emb_500images_train_t_[140].txt,11,COCO_blip_500images_train_t_[140].txt,11,implicit_file_position_only,no explicit public row id; not admitted row binding
train,10,COCO_emb_500images_train_t_[140].txt,12,COCO_blip_500images_train_t_[140].txt,12,implicit_file_position_only,no explicit public row id; not admitted row binding
train,11,COCO_emb_500images_train_t_[140].txt,13,COCO_blip_500images_train_t_[140].txt,13,implicit_file_position_only,no explicit public row id; not admitted row binding
train,12,COCO_emb_500images_train_t_[140].txt,14,COCO_blip_500images_train_t_[140].txt,14,implicit_file_position_only,no explicit public row id; not admitted row binding
train,13,COCO_emb_500images_train_t_[140].txt,15,COCO_blip_500images_train_t_[140].txt,15,implicit_file_position_only,no explicit public row id; not admitted row binding
train,14,COCO_emb_500images_train_t_[140].txt,16,COCO_blip_500images_train_t_[140].txt,16,implicit_file_position_only,no explicit public row id; not admitted row binding
train,15,COCO_emb_500images_train_t_[140].txt,17,COCO_blip_500images_train_t_[140].txt,17,implicit_file_position_only,no explicit public row id; not admitted row binding
train,16,COCO_emb_500images_train_t_[140].txt,18,COCO_blip_500images_train_t_[140].txt,18,implicit_file_position_only,no explicit public row id; not admitted row binding
train,17,COCO_emb_500images_train_t_[140].txt,19,COCO_blip_500images_train_t_[140].txt,19,implicit_file_position_only,no explicit public row id; not admitted row binding
train,18,COCO_emb_500images_train_t_[140].txt,20,COCO_blip_500images_train_t_[140].txt,20,implicit_file_position_only,no explicit public row id; not admitted row binding
train,19,COCO_emb_500images_train_t_[140].txt,21,COCO_blip_500images_train_t_[140].txt,21,implicit_file_position_only,no explicit public row id; not admitted row binding
train,20,COCO_emb_500images_train_t_[140].txt,22,COCO_blip_500images_train_t_[140].txt,22,implicit_file_position_only,no explicit public row id; not admitted row binding
train,21,COCO_emb_500images_train_t_[140].txt,23,COCO_blip_500images_train_t_[140].txt,23,implicit_file_position_only,no explicit public row id; not admitted row binding
train,22,COCO_emb_500images_train_t_[140].txt,24,COCO_blip_500images_train_t_[140].txt,24,implicit_file_position_only,no explicit public row id; not admitted row binding
train,23,COCO_emb_500images_train_t_[140].txt,25,COCO_blip_500images_train_t_[140].txt,25,implicit_file_position_only,no explicit public row id; not admitted row binding
train,24,COCO_emb_500images_train_t_[140].txt,26,COCO_blip_500images_train_t_[140].txt,26,implicit_file_position_only,no explicit public row id; not admitted row binding
