review_order,scout_queue_id,title,metadata_bucket,draft_target_gate,draft_split_gate,draft_score_or_response_gate,draft_metric_gate,draft_provenance_gate,draft_consumer_or_delta_gate,draft_allowed_wording,first_blocker,next_action
1,E2SCT-004,GenAI Confessions black-box,priority_gate_review,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,public metadata hints a data release but target/checkpoint/response packet is not row-bound,inspect Zenodo catalog and public repo metadata only; do not download the 133MB archive
2,E2SCT-012,Shake-to-Leak,priority_gate_review,Partial,Fail,Fail,Partial,Partial,Fail,candidate-only,public code/README suggests metrics but frozen checkpoint/private-set/response artifacts are not visible,inspect public tree and README for immutable target/split/score artifacts; no SD/LAION/person downloads
3,E2SCT-016,MIAHOLD HOLD++,priority_gate_review,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,public code/split hints exist but checkpoint-bound scores or ROC artifacts are not visible,inspect split file names and score artifact absence; no audio/CIFAR/checkpoint downloads
4,E2SCT-021,ELSA Health Privacy Challenge,priority_gate_review,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,starter benchmark metadata exists but gated challenge target and row-bound outputs are not public,split toy examples from real gated challenge assets before any freeze decision
5,E2SCT-001,MT-MIA relational diffusion score packet,review_semantics_before_freeze_candidate,Partial,Partial,Partial,Partial,Partial,Fail,bounded-support,cross-modal relational-tabular surface may not support diffusion-image membership claims,review whether E2 admits cross-modal tabular diffusion surfaces as separate strata
6,E2SCT-002,DMin data attribution,review_semantics_before_freeze_candidate,Partial,Partial,Partial,Partial,Partial,Fail,bounded-support,data-attribution artifacts may not answer membership/admission question,review attribution-vs-membership semantics before duplicate or denominator counting
7,E2SCT-005,DIFFENCE,review_semantics_before_freeze_candidate,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,target appears classifier-defense with diffusion purifier rather than audited diffusion generator,review consumer boundary before treating as E2 privacy surface
8,E2SCT-013,DCR copying manifest,review_semantics_before_freeze_candidate,Partial,Partial,Fail,Partial,Partial,Fail,bounded-support,copying/copyright surface may not support pointwise membership inference wording,review copying-vs-membership semantics and artifact packet availability
9,E2SCT-006,DSiRe LoRA-WiSE,artifact_followup,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,LoRA weight/dataset-size recovery lane lacks visible per-sample membership score packet,inspect only public metadata and file catalog; keep as backup unless row labels/scores exist
10,E2SCT-009,Memorization Anisotropy,artifact_followup,Partial,Fail,Fail,Partial,Partial,Fail,candidate-only,prompt memorization evidence is not yet bound to train/member identity and row scores,inspect public tree for prompt split and score arrays; avoid memorization-to-MIA overclaim
11,E2SCT-014,CDI copyrighted data identification,artifact_followup,Partial,Fail,Fail,Partial,Partial,Fail,candidate-only,dataset-level copyrighted-data identification is not per-sample membership evidence,keep as dataset-level boundary or backup unless feature/score packets are public
