review_id,source_row_id,title,author_false_promotion_verdict,author_contract_blocker,author_allowed_wording,author_compute_release,author_no_compute_release,key_status
FPR-E2SCT-004,E2SCT-004,GenAI Confessions / STROLL,artifact_surface_block,"No public row-bound generated outputs, DreamSim scores, metric JSON, or verifier","clean false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-012,E2SCT-012,Shake-to-Leak,artifact_surface_block,"Private set, checkpoints, generated responses, SecMI scores, extraction candidates, and metrics are runtime products","code-availability false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-016,E2SCT-016,MIAHOLD / HOLD++,artifact_surface_block,"No checkpoint-bound scores, ROC arrays, metric JSON/CSV, generated responses, or verifier",mixed-modality defense false-promotion exemplar only; not admitted response/score or defense-effectiveness evidence,no,1,author_key_not_external_label
FPR-E2SCT-021,E2SCT-021,ELSA Health Privacy Challenge,artifact_surface_block,"Actual challenge targets, labels, predictions, Noisy Diffusion datasets, metadata, and participant artifacts are platform-gated or submission-bound",gated-benchmark false-promotion exemplar only; not current image-diffusion E2 denominator or admitted response/score evidence,no,1,author_key_not_external_label
FPR-E2SCT-002,E2SCT-002,DMin,semantic_boundary_block,"Public surface is training-data attribution/influence estimation; no member/nonmember MIA score packet, ROC arrays, metric JSON, or verifier","attribution-vs-membership false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-005,E2SCT-005,DIFFENCE,semantic_boundary_block,"Protected target is classifier membership privacy with diffusion purification; no public defended/undefended logits, MIA score rows, ROC arrays, metric JSON, response packet, or verifier","classifier-defense consumer-boundary false-promotion exemplar only; not admitted diffusion-generator response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-013,E2SCT-013,DCR,semantic_boundary_block,Copying/replication metrics and caption artifacts are not pointwise member/nonmember MIA scores or verifier packets,"copying-vs-membership false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-009,E2SCT-009,Memorization Anisotropy,semantic_boundary_block,"Prompt memorization labels are not immutable image-row membership identity; no public row-bound scores, ROC arrays, metric JSON, or verifier","prompt-memorization false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-014,E2SCT-014,CDI copyrighted data identification,semantic_boundary_block,Dataset-level copyrighted-data identification is not per-sample membership evidence; features and scores are runtime products,"dataset-level-vs-per-sample false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-011,E2SCT-011,VAE2Diffusion,artifact_surface_block,"No public immutable split manifests, target checkpoint hashes, response/feature caches, per-sample scores, ROC arrays, metric JSON/CSV, or verifier","code-and-empty-asset-link false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-020,E2SCT-020,LSA-Probe music diffusion,artifact_surface_block,"Project implementation is withheld; demo score-like arrays are generated mock data with no target checkpoint, audio IDs, split manifests, score provenance, ROC/metric packet, or verifier","mock-demo-score false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-019,E2SCT-019,VidLeaks T2V,artifact_surface_block,"No hashable T2V target identity, exact video member/nonmember manifests, generated videos, feature/score/ROC/metric packet, or verifier","t2v-code-snapshot false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
FPR-E2SCT-024,E2SCT-024,DME,artifact_surface_block,"No implementation code, linked paper, target/split manifest, checkpoint, response/feature cache, per-row scores, ROC/metric JSON, or verifier","official-repo-stub false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",no,1,author_key_not_external_label
