split,implicit_position,emb_file,emb_line_number,vlm_file,vlm_line_number,caption_role,caption_file,caption_line_number,caption_filename,caption_row_sha256,caption_text_sha256,caption_preview,row_id_type,boundary
train,0,COCO_emb_500images_train_t_[140].txt,2,COCO_blip_500images_train_t_[140].txt,2,members,blip2_members_2500_captions.jsonl,1,3771,13b8bbd09049a9ff71ba9193ecd067837cd98efa61a0821dba78db717a92bea6,55cefaecc80cfcebfc1c7329a03fd40b4e405d8bef7f9182c1b5e34894a9fc3d,a bike lane painted on the road,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,1,COCO_emb_500images_train_t_[140].txt,3,COCO_blip_500images_train_t_[140].txt,3,members,blip2_members_2500_captions.jsonl,2,6672,26568e8eb33f145e59e52e5ce02d7d563405a83329c117fd8a485c0d58724bec,4a07e5dfeea1afed90c3ecb82ab0dd41d16a2a23896098a2c4e9b88f223803b8,a group of people skiing down a mountain,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,2,COCO_emb_500images_train_t_[140].txt,4,COCO_blip_500images_train_t_[140].txt,4,members,blip2_members_2500_captions.jsonl,3,7261,9f39b5ee2f4f8bc093f57a0a635e73b7f6093a7fbaad7126a44df300fa391e83,d0e1c10d929f4aeef197f84495ead1d3e61522620592f01ef77199c34984ae67,a train with graffiti on it,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,3,COCO_emb_500images_train_t_[140].txt,5,COCO_blip_500images_train_t_[140].txt,5,members,blip2_members_2500_captions.jsonl,4,0760,4563a24925c10f05b222e21796b283204b278f3694eceb1f107b6dec99b04850,71517876a5d602ac9b5bfabe70a7f73972f114dcea76933f3fd6d066b7df9ac1,a zebra standing in a dirt field,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,4,COCO_emb_500images_train_t_[140].txt,6,COCO_blip_500images_train_t_[140].txt,6,members,blip2_members_2500_captions.jsonl,5,3779,6b2382a6c0265669e3d87bffbcb88ce2fbe631db6582eb2771eb70d18e0c0d82,4a60501cdb47f2caadb425e99f4d5c177745f3eaf5246dbece18df5f5aa42b79,a car drives through a flooded street at night,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,5,COCO_emb_500images_train_t_[140].txt,7,COCO_blip_500images_train_t_[140].txt,7,members,blip2_members_2500_captions.jsonl,6,1772,a4addaddfabe0ce2e7befdcfdbdfcbc4112f533db5073481520a6c32886cc7a7,05cce66cf8326529e1f59fb18d46911c08f146147b76680bcdade17862bd2a13,a cat laying on a bed,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,6,COCO_emb_500images_train_t_[140].txt,8,COCO_blip_500images_train_t_[140].txt,8,members,blip2_members_2500_captions.jsonl,7,7509,6a35166b8dc39dfecd8b5b9c9326bbad228c286d00abd9cf6cb4237ea9a8e38b,30cdbb8c4eba02dacdc758baa135be2f5dc5168f28366443225f5dfd00f9a2b9,a bowl of green apples,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,7,COCO_emb_500images_train_t_[140].txt,9,COCO_blip_500images_train_t_[140].txt,9,members,blip2_members_2500_captions.jsonl,8,2679,d459d787938ab991a83926765253f5d4bfc1717a17f16b04cb9a3b6da0d427cb,2e0fd6822a47754502d729abd2429521c09adf8bdeaabfb393e993db7e546abb,a small child laying in a bed with a pillow,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,8,COCO_emb_500images_train_t_[140].txt,10,COCO_blip_500images_train_t_[140].txt,10,members,blip2_members_2500_captions.jsonl,9,2305,a2a689f55456a6824346d903a835dc01c94bfbe65f3524b31343c73e96929386,5949a2ebda963a3eab503104b46fd7ff5853721a31f4767b54e5113882848adb,a blue sky,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
train,9,COCO_emb_500images_train_t_[140].txt,11,COCO_blip_500images_train_t_[140].txt,11,members,blip2_members_2500_captions.jsonl,10,9215,feb95dd9f15b3ecff82bc6205ce8a40dbbed6999861d134d28e450d1cec9c7fa,53639219c887b54cc8551409131937e64fe3c06976355e572bea1ffbc92e5c1a,a red plane on the runway,caption_order_support_only,support-only caption JSONL order anchor only; score rows still lack explicit row IDs
