refreshed_at_utc,queue_id,title,url_count,source_kinds,artifact_surface_hint,followup_bucket,code_hint_count,split_hint_count,score_metric_hint_count,checkpoint_hint_count,response_hint_count,signal_items_sample,why_distinct,likely_false_promotion_relevance,required_followup,risk_or_duplicate,metadata_notes
2026-06-07T19:29:29.792284+00:00,E2SCT-001,MT-MIA relational diffusion score packet,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Multi-table relational synthetic-data surface with public split and score/metric packet hints,Score-packet rule may over-promote to admitted evidence,Refresh URL and check row-id binding plus tabular consumer boundary,Cross-modal and non-image diffusion,"https://github.com/joshward96/MT-MIA: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-002,DMin data attribution,2,github;huggingface_dataset,score_or_metric_surface_hint,review_semantics_before_freeze_candidate,0,22,22,0,0,.gitattributes | README.md | data/test-00000-of-00005.parquet | data/test-00001-of-00005.parquet | data/test-00002-of-00005.parquet | data/test-00003-of-00005.parquet | data/test-00004-of-00005.parquet | data/train-00000-of-00017.parquet | data/train-00001-of-00017.parquet | data/train-00002-of-00017.parquet | data/train-00003-of-00017.parquet | data/train-00004-of-00017.parquet | data/train-00005-of-00017.parquet | data/train-00006-of-00017.parquet | data/train-00007-of-00017.parquet | data/train-00008-of-00017.parquet | data/train-00009-of-00017.parquet | data/train-00010-of-00017.parquet | data/train-00011-of-00017.parquet | data/train-00012-of-00017.parquet | data/train-00013-of-00017.parquet | data/train-00014-of-00017.parquet | data/train-00015-of-00017.parquet | data/train-00016-of-00017.parquet,SD3 LoRA data-attribution surface with train/test/cache/influence artifacts,Artifact-rich rule may over-promote attribution as membership evidence,Refresh metadata and separate attribution gates from membership gates,Data attribution semantics may not match MIA,"https://github.com/huawei-lin/DMin: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://huggingface.co/datasets/huaweilin/DMin_mixed_datasets_8846: hf_dataset_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-003,DurMI TTS,2,openreview;zenodo_record,semantic_or_modality_risk,backup_or_exclude,0,0,0,6,0,ljspeech.Egg size=2917654120 checksum=md5:db4a4fcae60e3b9f9345cc38a25b | libritts.Egg size=8970035645 checksum=md5:caa6b7303d64ef139c79aa5934a2 | voiceflow_libritts_3k size=479448066 checksum=md5:c98c92612f3805db96e707cd9f05 | gradtts_libritts_3k.pt size=61914913 checksum=md5:751d987f21a4bd6183796ddf84cf | gradtts_vctk_3k.pt size=59682318 checksum=md5:7756b0d18c6686924cd626c7a6e8 | voiceflow_ljspeech_3k size=442329154 checksum=md5:f437542495a8b3b0fce5fcfec2e7 | voiceflow_vctk_3k size=472744194 checksum=md5:1c7887d50dd38cc628ef2365f4f6 | gradtts_ljspeech_3k.pt size=59460763 checksum=md5:1491aa6c4047c973d3c7f5245e71 | wavegrad2_vctk_1000000.pth size=320755739 checksum=md5:51b87a6ded3144f9af4ea2796899 | wavegrad2_librispeech_1000000.pth size=320755739 checksum=md5:13e79b358ce2bfbf5dbfb031f0bc | wavegrad2_ljspeech_1000000.pth size=320755739 checksum=md5:fdc9fa02edaff8aea906179fe290 | vctk.egg size=4765836580 checksum=md5:916f6157f69c4bcb116c58ee33b5,TTS diffusion membership surface with checkpoint and split hints,Checkpoint-plus-split rule may over-promote to replayable MIA,Inspect Zenodo metadata checksums and split coverage only,TTS cross-modal and likely large files,https://openreview.net/forum?id=NvHFk2D2g3: openreview_api_status=200; openreview_api_status=200 || https://zenodo.org/records/15474571: zenodo_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-004,GenAI Confessions black-box,2,github;zenodo_record,split_only_surface_hint,artifact_followup,0,1,0,0,0,hanyfarid/MembershipInference-datarelease.zip size=133599324 checksum=md5:6ec572d777fd04ef6cdedc712d2b,Image-to-image black-box membership surface with public raw inputs,Data-public plus reported-metric rule may over-promote,Check whether generated outputs or DreamSim scores are public,Target checkpoint and response packet may be missing,"https://github.com/hanyfarid/MembershipInference: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://zenodo.org/records/14573149: zenodo_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-005,DIFFENCE,2,github;zenodo_record,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,Diffence-master.zip size=2133861 checksum=md5:3535eb087cba81de655767510d4c,Diffusion-purifier defense surface around classifier MIA,Immutable code snapshot rule may over-promote,Determine whether target is classifier or diffusion and whether logits/scores exist,Consumer boundary risk because defense target may not be diffusion audit,"https://github.com/SPIN-UMass/Diffence: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://zenodo.org/records/13706131: zenodo_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-006,DSiRe LoRA-WiSE,2,github;huggingface_dataset,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,LoRA weight dataset-size recovery surface,HF dataset plus code rule may over-promote to membership,Apply weight-only lane gate and look for per-sample labels,May duplicate DMin or LoRA-defense family,"https://github.com/MoSalama98/DSiRe: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://huggingface.co/datasets/MoSalama98/LoRA-WiSE: hf_dataset_status=200; hf_error=json decode error: Unterminated string starting at: line 1 column 255976 (char 255975)"
2026-06-07T19:29:29.792284+00:00,E2SCT-007,StablePrivateLoRA,1,github,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,LoRA defense surface with visible member/nonmember-style folders,Public split-folder rule may over-promote,Check whether trained LoRA checkpoints and scores are public,Defense-only and likely no raw score packet,"https://github.com/WilliamLUO0/StablePrivateLoRA: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-008,FMIA frequency artifact,1,openreview,paper_metadata_only,paper_source_only_backup,0,0,0,0,0,,Frequency-filter MIA surface with supplementary code/split hints,Supplement-code rule may over-promote,Refresh supplement URL and check checkpoint score or ROC artifacts,Rejected submission and frequency-family duplicate risk,https://openreview.net/forum?id=p9uryyZ5bw: openreview_api_status=200; openreview_api_status=200
2026-06-07T19:29:29.792284+00:00,E2SCT-009,Memorization Anisotropy,2,github;openreview,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Prompt memorization surface using log-prob anisotropy,Code plus prompt-list rule may over-promote,Check prompt split against training identity,Memorization rather than pointwise MIA,"https://github.com/rohanasthana/memorization-anisotropy: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://openreview.net/forum?id=HTPGy5ydAY: openreview_api_status=200; openreview_api_status=200"
2026-06-07T19:29:29.792284+00:00,E2SCT-010,SimA score-based MIA,2,github;openreview,metadata_retry_needed,metadata_retry_needed,0,0,0,0,0,,Score-based gray-box attack surface,Code-public rule may over-promote,Inspect split/checkpoint links and score packets,May duplicate latent-score family,"https://github.com/mx-ethan-rao/SimA: github_repo_status=403; github_error={""message"":""API rate limit exceeded for 203.10.99.11. (But here's the good news: Authenticated requests get a higher rat; github_rate_limited=1; raw_README.md_status=200; github_page_status=200 || https://openreview.net/forum?id=Ckvsu5xRmf: openreview_api_status=200; openreview_api_status=200"
