queue_id,title,public_source_candidates,why_distinct,likely_false_promotion_relevance,required_followup,risk_or_duplicate
E2SCT-001,MT-MIA relational diffusion score packet,https://github.com/joshward96/MT-MIA,Multi-table relational synthetic-data surface with public split and score/metric packet hints,Score-packet rule may over-promote to admitted evidence,Refresh URL and check row-id binding plus tabular consumer boundary,Cross-modal and non-image diffusion
E2SCT-002,DMin data attribution,https://github.com/huawei-lin/DMin; https://huggingface.co/datasets/huaweilin/DMin_mixed_datasets_8846,SD3 LoRA data-attribution surface with train/test/cache/influence artifacts,Artifact-rich rule may over-promote attribution as membership evidence,Refresh metadata and separate attribution gates from membership gates,Data attribution semantics may not match MIA
E2SCT-003,DurMI TTS,https://openreview.net/forum?id=NvHFk2D2g3; https://zenodo.org/records/15474571,TTS diffusion membership surface with checkpoint and split hints,Checkpoint-plus-split rule may over-promote to replayable MIA,Inspect Zenodo metadata checksums and split coverage only,TTS cross-modal and likely large files
E2SCT-004,GenAI Confessions black-box,https://github.com/hanyfarid/MembershipInference; https://zenodo.org/records/14573149,Image-to-image black-box membership surface with public raw inputs,Data-public plus reported-metric rule may over-promote,Check whether generated outputs or DreamSim scores are public,Target checkpoint and response packet may be missing
E2SCT-005,DIFFENCE,https://github.com/SPIN-UMass/Diffence; https://zenodo.org/records/13706131,Diffusion-purifier defense surface around classifier MIA,Immutable code snapshot rule may over-promote,Determine whether target is classifier or diffusion and whether logits/scores exist,Consumer boundary risk because defense target may not be diffusion audit
E2SCT-006,DSiRe LoRA-WiSE,https://github.com/MoSalama98/DSiRe; https://huggingface.co/datasets/MoSalama98/LoRA-WiSE,LoRA weight dataset-size recovery surface,HF dataset plus code rule may over-promote to membership,Apply weight-only lane gate and look for per-sample labels,May duplicate DMin or LoRA-defense family
E2SCT-007,StablePrivateLoRA,https://github.com/WilliamLUO0/StablePrivateLoRA,LoRA defense surface with visible member/nonmember-style folders,Public split-folder rule may over-promote,Check whether trained LoRA checkpoints and scores are public,Defense-only and likely no raw score packet
E2SCT-008,FMIA frequency artifact,https://openreview.net/forum?id=p9uryyZ5bw,Frequency-filter MIA surface with supplementary code/split hints,Supplement-code rule may over-promote,Refresh supplement URL and check checkpoint score or ROC artifacts,Rejected submission and frequency-family duplicate risk
E2SCT-009,Memorization Anisotropy,https://github.com/rohanasthana/memorization-anisotropy; https://openreview.net/forum?id=HTPGy5ydAY,Prompt memorization surface using log-prob anisotropy,Code plus prompt-list rule may over-promote,Check prompt split against training identity,Memorization rather than pointwise MIA
E2SCT-010,SimA score-based MIA,https://github.com/mx-ethan-rao/SimA; https://openreview.net/forum?id=Ckvsu5xRmf,Score-based gray-box attack surface,Code-public rule may over-promote,Inspect split/checkpoint links and score packets,May duplicate latent-score family
E2SCT-011,VAE2Diffusion,https://github.com/mx-ethan-rao/VAE2Diffusion; https://arxiv.org/abs/2511.20592,Latent-space inversion MIA surface,Released-code claim may over-promote,Check README asset links and score/ROC artifacts,Same author family and asset links may be empty
E2SCT-012,Shake-to-Leak,https://github.com/VITA-Group/Shake-to-Leak,Fine-tuning-amplified leakage or extraction surface,Runnable-code rule may over-promote,Check public checkpoint private-set and response artifacts,May require local generation rather than frozen packet
E2SCT-013,DCR copying manifest,https://github.com/somepago/DCR,Copying or replication detection surface with caption manifest,Caption-manifest rule may over-promote,Separate copying from membership and look for score/response packet,Semantic shift from membership
E2SCT-014,CDI copyrighted data identification,https://github.com/sprintml/copyrighted_data_identification,Dataset-level copyrighted-data identification surface,Official repo plus metric-code rule may over-promote,Apply dataset-level boundary and look for feature/score outputs,Not per-sample MIA
