surface,gate,observation,decision,boundary
repo_metadata,target_gate,"osquera/MIA_SD is public; default branch main; pushed 2024-06-12; updated 2025-02-18; description says bachelor thesis codebase for Membership Inference Attacks for generative models",Partial,"repo identity is public but target checkpoint identity is not immutable/public"
root_readme,split_gate,"README blob bd804c4bd2a6b09c93f381992d7e47cade9b7bd3 says experiment images are not published and must be added for scripts to run",Fail,"input images and row identities are absent"
target_model_readme,target_gate,"target_model/README.md blob ea55243375d7d6aab52c30a3cf221e9dee264113 describes Stable Diffusion 1.5 fine-tuning, BLIP labeling, A100 fine-tuning, and 100 seeds x 25 inference images",Partial,"procedure is public but no fixed public checkpoint or row manifest"
result_tree,score_or_response_gate,"recursive tree exposes 44 pkl files totaling about 6.06 MB, 400 pgf files totaling about 8.69 MB, and 3 npy files totaling about 40.16 MB",Partial,"public result-like artifacts exist but do not bind scores to public row IDs"
results_pickle,score_or_response_gate,"DTU_vs_AAU_unseen_test/results.pkl blob 56bcc1eae522f7df4cb0523bb93cac7e22fe60bc size 172064; static pickletools inspection found roc_auc, tpr, fpr, thresholds, y_pred, y_true, cm; raw sha256 92fcd4ca835d23426d896f31a3ce0331599ac1441d0754d13018b30de56a2c99",Partial,"unsafe pickle is not a release verifier and row IDs are absent"
clip_results_pickle,score_or_response_gate,"DTU_vs_AAU_unseen_test/CLIP_results.pkl blob a6df42a379384504b5e0ffe71b2efbe6c3d1137f size 41629; static pickletools inspection found roc_auc, tpr, fpr, thresholds, y_pred, y_true, cm; raw sha256 3e14556f5659eb75b5876603d52fbf554ce925f1b5e485f39bbb4fdf28e6c808",Partial,"unsafe pickle is not a release verifier and row IDs are absent"
roc_pgf,metric_gate,"DTU_vs_AAU_unseen_test/roc_auc.pgf blob 90860b43855ad52d87285aba6b2edb2edc78de56 size 36464; text contains Mean ROC AUC = 0.86 +/- 0.02; raw sha256 62be6ae495bfed8204a6fbc5feadb2f59eb81249068a64319681c07b665819f2",Partial,"metric figure is public but not a row-bound metric JSON/CSV verifier"
experiment_py,metric_gate,"experiment.py blob ae91b7180d8ffb11834bfcb1df71b78b97d30fb8 computes roc_curve and roc_auc_score then writes results.pkl with roc_auc, tpr, fpr, thresholds, y_pred, y_true, cm",Partial,"metric code is visible but consumes local image folders"
dtu_loss_csv,semantic_boundary_gate,"dtu-400-target-loss.csv blob 54dde32938040de2128dbf2f48854810d3a132f4 has W&B-style Step/train_loss columns and 10001 lines",Pass,"training loss log is not a membership score packet"
overall,allowed_wording,"C14-v2 candidate public-result-surface row; scores/ROC artifacts exist, but unpublished images, missing row IDs, missing target checkpoint identity, and pickle verifier format block audit admission",candidate-only,"not admitted, not N50 denominator, not current C14 baseline, not second public response/score asset, no compute release"
