queue_id,e2_seed_id,title,freeze_bucket,can_count_external_now,next_action,reason
E2Q-001,E2S-001,Reportable bundle,internal_support_only,0,keep as internal control unless a public source replaces the evidence note,Internal reportable bundle is a project-side summary and has no public URL candidate.
E2Q-002,E2S-002,H2 output-cloud geometry,internal_positive_support,0,keep as Research-side stress test only,H2 has a strong local response-cache signal but no public-source row and failed admission boundaries.
E2Q-003,E2S-003,SD/CelebA img2img portability,internal_portability_support,0,keep as internal portability boundary unless a public source appears,Portability packet has no public URL candidate and cannot define an external row.
E2Q-004,E2S-004,CLiD official inter-output,external_candidate_needs_refresh,0,refresh public source and inspect row-bound artifact identity,Public URL is reachable but numeric score rows still need target/image identity binding.
E2Q-005,E2S-005,Tracing the Roots,external_candidate_needs_refresh,0,refresh OpenReview and supplement; inspect feature-packet provenance,Public OpenReview/supplement links are reachable but raw target/sample identity and consumer boundary remain limited.
E2Q-006,E2S-006,CopyMark official score artifacts,external_candidate_needs_refresh,0,refresh repo and inspect compact row-binding manifest availability,Official score artifacts are useful support but row id/split/target manifest binding is still unresolved.
E2Q-007,E2S-007,ReDiffuse STL-10 scout,internal_negative_control,0,keep as weak negative/support control only,Weak local/public-scout result has no public URL candidate for external adjudication.
E2Q-008,E2S-008,CommonCanvas response packet,internal_response_contract_control,0,keep as internal response-contract control only,Local 50/50 response packet has no public-source denominator row.
E2Q-009,E2S-009,MIDST Blending++,external_candidate_needs_refresh,0,refresh public source and check tabular consumer boundary,Public code URL is reachable but MIDST is tabular and remains below admission gate.
E2Q-010,E2S-010,Separately supplied SD ReDiffuse,restricted_internal_support_only,0,do not count unless a public source replaces the restricted packet,Restricted/local packet with no public URL candidate.
E2Q-011,E2S-011,Quantile/SecMI public packet,external_candidate_needs_refresh,0,refresh public repo and inspect provenance/officialness,Third-party score packet may support false-promotion study but is not official admitted evidence.
E2Q-012,E2S-020,Model Will Tell / DRC,artifact_followup,0,inspect public artifact surface after source refresh,ArXiv URL is reachable but current surface appears paper/metadata only.
E2Q-013,E2S-022,ronketer/diffusion-membership-inference,artifact_followup_support,0,downgrade ready label; inspect private Colab/GDrive path risk,Public repo exists but target/split/packet boundaries are not freeze-ready.
E2Q-014,E2S-023,fseclab-osaka/mia-diffusion,artifact_followup_duplicate_risk,0,inspect artifact packet and duplicate relation to E2Q-015,Code-public row has no frozen score/response packet.
E2Q-015,E2S-029,Membership Inference Attacks against Diffusion Models,artifact_followup_duplicate_risk,0,merge or split only if a distinct artifact surface is proven,Same family/source risk with fseclab-osaka metadata.
E2Q-016,E2S-030,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,artifact_followup_duplicate_risk,0,inspect artifact surface and duplicate relation to E2Q-020/E2Q-023,Metadata-heavy row with repeated title family.
E2Q-017,E2S-032,Membership Inference of Diffusion Models,artifact_followup_duplicate_risk,0,inspect artifact surface and duplicate relation to MIDM-like rows,Metadata-heavy row needs row-bound artifact proof.
E2Q-018,E2S-033,Are Diffusion Models Vulnerable to Membership Inference Attacks?,artifact_followup_duplicate_risk,0,inspect artifact surface and duplicate relation to SecMI-like rows,Metadata-heavy row needs row-bound artifact proof.
E2Q-019,E2S-037,Privacy Threats in Stable Diffusion Models,artifact_followup,0,inspect whether public artifact packet exists,ArXiv row is public but currently metadata/paper oriented.
E2Q-020,E2S-039,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,artifact_followup_duplicate_risk,0,check HF dataset metadata and avoid duplicate counting with E2Q-016/E2Q-023,HF shard hints may not include score/response/metric surface.
E2Q-021,E2S-040,Are Diffusion Models Vulnerable to Membership Inference Attacks?,artifact_followup_duplicate_risk,0,inspect split/code surface and score-packet absence,SecMI-like split/code row is not a frozen score/response packet.
E2Q-022,E2S-041,Membership Inference of Diffusion Models,artifact_followup_duplicate_risk,0,inspect MIDM code path and packet absence,Code hints do not prove a public score packet or metric artifact.
E2Q-023,E2S-050,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,artifact_followup_duplicate_risk,0,review OpenReview variants and merge duplicate metadata surfaces,OpenReview URLs are reachable but row-bound artifact packet is not proven.
