pilot_id,title,field,labels,first_blockers,notes
E2P-002,H2 output-cloud geometry,consumer_or_delta_gate,D=Fail;E=Partial;F=Partial,D=consumer_or_delta_gate; E=no admitted consumer contract; F=consumer_or_delta_gate,"D: Response caches and replayed metrics support a bounded Research-side mechanism claim, but the note explicitly says no admitted row or product contract. | E: Exact local response caches and row counts support a bounded Research mechanism claim only | F: Strong H2 mechanism candidate with response caches and replayed metrics but no admitted product contract."
E2P-003,CLiD official inter-output,target_gate,D=Partial;E=Partial;F=Pass,D=split_gate; E=missing row identity manifest; F=split_gate,"D: Official numeric inter-output scores exist, but rows cannot be bound to immutable COCO image IDs, captions, or member/nonmember manifest. | E: Official numeric score files exist but rows are not bound to COCO identities captions or immutable split manifest | F: Official numeric score files exist but row identity manifest and accessible gated split metadata are missing."
E2P-003,CLiD official inter-output,split_gate,D=Fail;E=Fail;F=Partial,D=split_gate; E=missing row identity manifest; F=split_gate,"D: Official numeric inter-output scores exist, but rows cannot be bound to immutable COCO image IDs, captions, or member/nonmember manifest. | E: Official numeric score files exist but rows are not bound to COCO identities captions or immutable split manifest | F: Official numeric score files exist but row identity manifest and accessible gated split metadata are missing."
E2P-003,CLiD official inter-output,score_or_response_gate,D=Pass;E=Partial;F=Pass,D=split_gate; E=missing row identity manifest; F=split_gate,"D: Official numeric inter-output scores exist, but rows cannot be bound to immutable COCO image IDs, captions, or member/nonmember manifest. | E: Official numeric score files exist but rows are not bound to COCO identities captions or immutable split manifest | F: Official numeric score files exist but row identity manifest and accessible gated split metadata are missing."
E2P-003,CLiD official inter-output,allowed_wording,D=candidate-only;E=bounded-support;F=candidate-only,D=split_gate; E=missing row identity manifest; F=split_gate,"D: Official numeric inter-output scores exist, but rows cannot be bound to immutable COCO image IDs, captions, or member/nonmember manifest. | E: Official numeric score files exist but rows are not bound to COCO identities captions or immutable split manifest | F: Official numeric score files exist but row identity manifest and accessible gated split metadata are missing."
E2P-006,Separately supplied SD ReDiffuse,target_gate,D=Partial;E=Partial;F=Pass,D=target_gate; E=source confounded and nonpublic provenance; F=provenance_gate,"D: The 5000-row packet is replayable, but collaborator-local provenance and source-label confounding block a strict same-distribution membership or admitted audit claim. | E: Restricted collaborator packet is replayable but label is perfectly aligned with LAION versus COCO source | F: Local collaborator packet is replayable but source-confounded and not a public immutable asset."
E2P-009,fseclab-osaka/mia-diffusion,metric_gate,D=Fail;E=Fail;F=Partial,D=score_or_response_gate; E=no checkpoint-bound score packet; F=score_or_response_gate,"D: Template reports code and deterministic split construction, but no checkpoint-bound committed score or manifest packet. | E: Public code and deterministic split construction are visible but no row-bound committed scores or verifier are in the row packet | F: Relevant public code and deterministic split construction exist but no checkpoint-bound score packet is exposed."
E2P-010,Divya1201/diffusion-privacy-attacks,split_gate,D=Partial;E=Fail;F=Partial,D=score_or_response_gate; E=no committed score or manifest packet; F=score_or_response_gate,"D: Relevant public code and attack/evaluation modules exist, but no committed row scores, response packet, metric packet, or manifest. | E: Public scripts exist but README and code surfaces alone do not expose row-bound scores responses or verifier output | F: Relevant public scripts exist but no committed score or manifest packet is visible."
E2P-013,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,target_gate,D=Pass;E=Partial;F=Partial,D=score_or_response_gate; E=missing row-bound scores or responses; F=score_or_response_gate,"D: Public LAION-MI dataset surface exposes member/nonmember shards and row counts, supporting reproduction-context claims but not row-bound attack scores or metrics. | E: Dataset surface gives member and nonmember shards and row counts but no attack scores responses or verifier packet | F: Public HF dataset gives member and nonmember shards but no row-bound attack scores or metric verifier."
E2P-013,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,consumer_or_delta_gate,D=Partial;E=Partial;F=Fail,D=score_or_response_gate; E=missing row-bound scores or responses; F=score_or_response_gate,"D: Public LAION-MI dataset surface exposes member/nonmember shards and row counts, supporting reproduction-context claims but not row-bound attack scores or metrics. | E: Dataset surface gives member and nonmember shards and row counts but no attack scores responses or verifier packet | F: Public HF dataset gives member and nonmember shards but no row-bound attack scores or metric verifier."
E2P-014,Are Diffusion Models Vulnerable to Membership Inference Attacks?,target_gate,D=Pass;E=Partial;F=Partial,D=score_or_response_gate; E=missing row-bound scores or verifier; F=score_or_response_gate,"D: Official SecMI code, split npz files, stats, and model links support a reproduction-context claim, but the row lacks committed score rows or verifier metrics. | E: Official code and split npz files support reproduction-context wording but no committed score packet is described | F: Official code and split files are public but no committed row-bound scores or replayed metric packet are shown."
E2P-014,Are Diffusion Models Vulnerable to Membership Inference Attacks?,consumer_or_delta_gate,D=Partial;E=Partial;F=Fail,D=score_or_response_gate; E=missing row-bound scores or verifier; F=score_or_response_gate,"D: Official SecMI code, split npz files, stats, and model links support a reproduction-context claim, but the row lacks committed score rows or verifier metrics. | E: Official code and split npz files support reproduction-context wording but no committed score packet is described | F: Official code and split files are public but no committed row-bound scores or replayed metric packet are shown."
