packet_id,packet_row_id,claim_id,claim_summary,source_artifact,provenance_ids,replay_tier,availability_tier,trace_type,reviewer,gate_allowed_values,evidence_state_allowed_values,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate,evidence_state,first_blocker,allowed_wording,notes
claim-gate-recode-c1-c15-20260609,CGRC-001,C14,Thirteen E2 public surfaces form a pre-label stress-control packet for weak-rule comparison.,e2_false_promotion_exemplar_summary_2026_06_07.csv; false_promotion_exemplars.csv; false_promotion_external_review_packet.csv; false_promotion_blinded_review_packet.csv; false_promotion_adjudication_key.csv; false_promotion_external_review_template.csv; false_promotion_row_trace.csv; false_promotion_author_gate_matrix.csv; false_promotion_gate_summary.csv; direction-a-false-promotion-audit-codebook.md,e2-false-promotion-summary;false-promotion-exemplars-csv;false-promotion-summary-csv;false-promotion-review-packet-csv;false-promotion-blinded-packet-csv;false-promotion-adjudication-key-csv;false-promotion-review-template-csv;false-promotion-row-trace-csv;false-promotion-author-gate-matrix-csv;false-promotion-gate-summary-csv;false-promotion-codebook-md,no-download public-surface classification; no score replay,research-workspace + paper-workspace,prelabel-stress-control,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-002,C12,"The broader source pass adds no-download HF, Zenodo, and OpenReview metadata-screening/query hygiene without adding admitted rows.",artifact_corpus_broader_source_20260527.csv; direction-c-broader-source-pass-20260527.md,artifact-broader-source,metadata-only query hygiene,paper-workspace,metadata-batch,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-003,C8,Selected corpora can be summarized as gate-label counts for claim-control drafting.,artifact_gate_summary.csv; artifact_gate_summary.pdf,artifact-gate-summary-csv,generated selected-corpus summary,paper-workspace,summary,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-004,C13,The targeted artifact-link pass recovers three non-pooled L1 public artifact surfaces from existing metadata-only rows.,artifact_corpus_targeted_artifact_links_20260527.csv; direction-c-targeted-artifact-link-pass-20260527.md,artifact-targeted-link,L1 artifact inspection; no score replay,paper-workspace,targeted-artifact-link,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-005,C10,The bounded second-pass review found no admitted-like fixed-search row and adopted two tightenings.,direction-c-second-pass-label-review-20260526.md; artifact_second_pass_label_review_20260526.csv,artifact-second-pass,same-team label-hygiene review,paper-workspace,review-trace,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-006,C6,Direction C v1 structures 21 selected evidence-note surfaces into artifact strata and gate labels.,artifact_corpus_v1.csv; direction-c-corpus-v1.md,artifact-corpus-v1,selected-corpus metadata and mixed evidence levels,paper-workspace,selected-corpus,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-007,C3,"H2 output-cloud is a candidate-only admission stress test, not an admitted attack.","H2 main, controls, cache-robustness, and img2img portability artifacts",h2-main;h2-label-shuffle;h2-shared-position;h2-seed177-shared-position;h2-transfer;h2-img2img-portability;h2-output-cloud-rows-csv,response/feature replay from frozen aggregate artifacts,research-workspace,packet,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-008,C4,H2 same-family controls support stability evidence but not cross-model portability.,"H2 shared-position, seed-stability, and cache-robustness artifacts",h2-shared-position;h2-shared-position-shuffle;h2-seed177-shared-position;h2-seed177-shuffle;h2-transfer;h2-output-cloud-rows-csv,response/feature replay from frozen aggregate artifacts,research-workspace,packet,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-009,C7,The fixed-search batch is metadata-only selection-process evidence.,artifact_corpus_fixed_search_20260526.csv; direction-c-fixed-search-batch-20260526.md,artifact-fixed-search,metadata-only,paper-workspace,metadata-batch,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
claim-gate-recode-c1-c15-20260609,CGRC-010,C5,"Blocked second-asset and public-surface routes are route-selection evidence, not universal negative claims.","negative_support_rows.csv, source-provenance sidecars, and evidence notes",negative-support-curated;negative-support-rows-csv;rediffuse-stl10-bounded-scout;rediffuse-stl10-score-norm;stl10-rediffuse-route-summary;commoncanvas-denoising;tracing-roots-feature-packet;midst-blending-scout;sd-rediffuse-collaborator;mofit-public-score-preflight;mofit-public-replay-script;mofit-public-score-metrics;mofit-public-gate-status;mofit-public-caption-position-manifest;c14-e2-external-adjudication-preregistration;sama-dlm-public-surface-check;miaept-tabular-public-surface-check;diffusion-mia-public-surface-check;remia-tabular-public-result-archive-check;openlvlm-vlm-public-surface-check;openlvlm-vlm-public-surface-csv;e2-high-value-delta-refresh;e2-high-value-delta-refresh-csv;e2-high-value-delta-watchlist;e2-high-value-delta-gate-queue;artifact-corpus-v1;artifact-fixed-search,"mixed: metadata, support, scoreable, or negative",paper-workspace + research-workspace,aggregate,,Pass|Partial|Fail|N/A,reportable mixed-strength bundle|role-separated reportable inventory|candidate failed-admission stress test|same-family stability support|support/negative route-selection evidence|claim-support taxonomy evidence|metadata process trace|claim-control summary|same-team taxonomy evidence|internal label hygiene|uncertainty sidecar|metadata-screening query hygiene|non-pooled L1 artifact inspection|pre-label stress-control object|release-wording sanity packet,,,,,,,,,,
