review_id,source_row_id,title,label_source,target_gate,split_gate,score_or_response_gate,metric_gate,semantic_boundary_gate,provenance_gate,consumer_boundary_gate,author_false_promotion_verdict,first_blocking_gate,gate_rationale,compute_release,matrix_boundary
FPR-E2SCT-004,E2SCT-004,GenAI Confessions / STROLL,author_key_not_external_label,Partial,Pass,Fail,Fail,Pass,Partial,Fail,artifact_surface_block,score_or_response_gate,"Public STROLL member/nonmember annotations are visible, but generated outputs, DreamSim scores, metric JSON, and verifier are absent.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-012,E2SCT-012,Shake-to-Leak,author_key_not_external_label,Fail,Fail,Fail,Fail,Pass,Partial,Fail,artifact_surface_block,target_gate,"Runnable leakage code is visible, but the private set, checkpoints, responses, scores, and metrics are runtime products.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-016,E2SCT-016,MIAHOLD / HOLD++,author_key_not_external_label,Partial,Partial,Fail,Fail,Partial,Partial,Fail,artifact_surface_block,score_or_response_gate,"Defense code and split/config hints are public, but checkpoint-bound scores, responses, ROC arrays, metric JSON/CSV, and verifier are absent.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-021,E2SCT-021,ELSA Health Privacy Challenge,author_key_not_external_label,Fail,Partial,Fail,Partial,Fail,Partial,Fail,artifact_surface_block,target_gate,"The public starter package exposes examples and metrics, but real challenge targets, labels, predictions, datasets, and participant artifacts are gated.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-002,E2SCT-002,DMin,author_key_not_external_label,Partial,Partial,Fail,Partial,Fail,Partial,Fail,semantic_boundary_block,semantic_boundary_gate,"The public surface supports attribution/influence inspection, not row-bound member/nonmember MIA scores or verifier artifacts.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-005,E2SCT-005,DIFFENCE,author_key_not_external_label,Fail,Partial,Fail,Partial,Fail,Partial,Fail,semantic_boundary_block,semantic_boundary_gate,"The protected target is classifier membership privacy with diffusion purification, not a diffusion-generator membership score/response packet.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-013,E2SCT-013,DCR,author_key_not_external_label,Partial,Fail,Fail,Partial,Fail,Partial,Fail,semantic_boundary_block,semantic_boundary_gate,"Copying and retrieval artifacts are public, but they are not pointwise member/nonmember MIA labels, scores, ROC arrays, or verifier packets.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-009,E2SCT-009,Memorization Anisotropy,author_key_not_external_label,Partial,Partial,Fail,Partial,Fail,Partial,Fail,semantic_boundary_block,semantic_boundary_gate,"Prompt mem/nmem files and a memorization metric are visible, but prompt memorization is not immutable image-row membership evidence.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-014,E2SCT-014,CDI copyrighted data identification,author_key_not_external_label,Partial,Partial,Fail,Partial,Fail,Partial,Fail,semantic_boundary_block,semantic_boundary_gate,"CDI exposes dataset-level identification workflows, but not per-sample diffusion-generator membership evidence.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-011,E2SCT-011,VAE2Diffusion,author_key_not_external_label,Fail,Fail,Fail,Fail,Pass,Partial,Fail,artifact_surface_block,target_gate,"The latent-space MIA claim and code are public, but split manifests, target checkpoints, caches, scores, ROC arrays, and verifier are absent.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-020,E2SCT-020,LSA-Probe music diffusion,author_key_not_external_label,Fail,Fail,Fail,Fail,Partial,Partial,Fail,artifact_surface_block,score_or_response_gate,"The demo exposes score-like JSON arrays, but they are mock visualization data without target, split, score provenance, metric packet, or verifier.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-019,E2SCT-019,VidLeaks T2V,author_key_not_external_label,Fail,Fail,Fail,Fail,Partial,Partial,Fail,artifact_surface_block,target_gate,"The Zenodo code snapshot is public, but no hashable T2V target, exact video split, generated-video packet, score/ROC/metric artifact, or verifier is public.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
FPR-E2SCT-024,E2SCT-024,DME,author_key_not_external_label,Fail,Fail,Fail,Fail,Pass,Partial,Fail,artifact_surface_block,target_gate,"The official repo is public, but it is a README-only stub with no implementation code, target/split packet, checkpoint, scores, ROC/metric artifact, or verifier.",no,"author-keyed post-label comparison only; not external adjudication, denominator evidence, or compute release"
