bib_key,entry_type,title,year,identifier_kind,identifier_value,verification_url,http_status,verification_status,verification_note,metadata_status,metadata_source,metadata_note,checked_at_utc
duan2023secmi,inproceedings,Are Diffusion Models Vulnerable to Membership Inference Attacks?,2023,url,https://proceedings.mlr.press/v202/duan23b.html,https://proceedings.mlr.press/v202/duan23b.html,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
shokri2017membership,inproceedings,Membership Inference Attacks Against Machine Learning Models,2017,doi_handle,10.1109/SP.2017.41,https://doi.org/api/handles/10.1109/SP.2017.41,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/SP.2017.41,2026-06-09T08:29:16Z
yeom2018privacy,inproceedings,Privacy Risk in Machine Learning: Analyzing the Connection to Overfitting,2018,doi_handle,10.1109/CSF.2018.00027,https://doi.org/api/handles/10.1109/CSF.2018.00027,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/CSF.2018.00027,2026-06-09T08:29:16Z
carlini2023extracting,inproceedings,Extracting Training Data from Diffusion Models,2023,url,https://www.usenix.org/conference/usenixsecurity23/presentation/carlini,https://www.usenix.org/conference/usenixsecurity23/presentation/carlini,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
somepalli2023replication,inproceedings,Diffusion Art or Digital Forgery? Investigating Data Replication in Diffusion Models,2023,doi_handle,10.1109/CVPR52729.2023.00586,https://doi.org/api/handles/10.1109/CVPR52729.2023.00586,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.1109/CVPR52729.2023.00586,2026-06-09T08:29:16Z
kong2024pia,inproceedings,An Efficient Membership Inference Attack for the Diffusion Model by Proximal Initialization,2024,url,https://openreview.net/forum?id=rpH9FcCEV6,https://openreview.net/forum?id=rpH9FcCEV6,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
zha2024clid,inproceedings,Membership Inference on Text-to-Image Diffusion Models via Conditional Likelihood Discrepancy,2024,url,https://openreview.net/forum?id=DztaBt4wP5,https://openreview.net/forum?id=DztaBt4wP5,200,verified,verified: reference URL resolved,verified,url_payload,verified: title token coverage=1.00,2026-06-09T08:29:16Z
reconstruction2025blackbox,inproceedings,Black-box Membership Inference Attacks against Fine-tuned Diffusion Models,2025,doi_handle,10.14722/ndss.2025.230324,https://doi.org/api/handles/10.14722/ndss.2025.230324,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.14722/ndss.2025.230324,2026-06-09T08:29:16Z
gsa2025whitebox,article,White-box Membership Inference Attacks against Diffusion Models,2025,doi_handle,10.56553/popets-2025-0068,https://doi.org/api/handles/10.56553/popets-2025-0068,200,verified,verified: DOI handle exists,verified,doi_csl_json,verified: title/year match via https://doi.org/10.56553/popets-2025-0068,2026-06-09T08:29:16Z
tracingroots2025,misc,Tracing the Roots: Leveraging Temporal Dynamics in Diffusion Trajectories for Origin Attribution,2024,arxiv_abs,2411.07449,https://arxiv.org/abs/2411.07449,200,verified,verified: arXiv abstract resolved,verified,doi_csl_json,verified: title/year match via https://doi.org/10.48550/arXiv.2411.07449,2026-06-09T08:29:16Z
