review_id,source_row_id,title,exemplar_type,weak_rules_under_test,public_surface_that_looks_strong,contract_blocker_claimed,source_allowed_wording,source_no_compute_release,review_question,packet_status,reviewer,external_decision,external_notes
FPR-E2SCT-004,E2SCT-004,GenAI Confessions / STROLL,artifact-availability false-promotion,artifact_availability_would_promote; paper_claim_artifact_link_would_promote,100 public paired intraining/outoftraining STROLL annotation rows,"No public row-bound generated outputs, DreamSim scores, metric JSON, or verifier","clean false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-012,E2SCT-012,Shake-to-Leak,code-availability false-promotion,code_availability_would_promote; paper_claim_artifact_link_would_promote,Official runnable fine-tuning/leakage code and SecMI/data-extraction scripts,"Private set, checkpoints, generated responses, SecMI scores, extraction candidates, and metrics are runtime products","code-availability false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-016,E2SCT-016,MIAHOLD / HOLD++,mixed-modality defense metric-code false-promotion,code_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Defense code, split hints, CIFAR HOLD config, and PIA-style metric code","No checkpoint-bound scores, ROC arrays, metric JSON/CSV, generated responses, or verifier",mixed-modality defense false-promotion exemplar only; not admitted response/score or defense-effectiveness evidence,1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-021,E2SCT-021,ELSA Health Privacy Challenge,gated-benchmark starter-metric false-promotion,code_availability_would_promote; metric_code_split_would_promote; artifact_availability_would_promote; paper_claim_artifact_link_would_promote,"Public biomedical synthetic-data starter package with MIA code, example labels/predictions, and metric contract","Actual challenge targets, labels, predictions, Noisy Diffusion datasets, metadata, and participant artifacts are platform-gated or submission-bound",gated-benchmark false-promotion exemplar only; not current image-diffusion E2 denominator or admitted response/score evidence,1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-002,E2SCT-002,DMin,attribution-vs-membership false-promotion,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official repo plus public HF train/test dataset, LoRA weights, and cached gradient/influence artifacts","Public surface is training-data attribution/influence estimation; no member/nonmember MIA score packet, ROC arrays, metric JSON, or verifier","attribution-vs-membership false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-005,E2SCT-005,DIFFENCE,classifier-defense consumer-boundary false-promotion,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official code, Zenodo code snapshot, diffusion-purifier components, classifier-defense configs, and MIA evaluation scripts","Protected target is classifier membership privacy with diffusion purification; no public defended/undefended logits, MIA score rows, ROC arrays, metric JSON, response packet, or verifier","classifier-defense consumer-boundary false-promotion exemplar only; not admitted diffusion-generator response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-013,E2SCT-013,DCR,copying-vs-membership false-promotion,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Public copying/retrieval code, metrics workflow, and caption manifest metadata",Copying/replication metrics and caption artifacts are not pointwise member/nonmember MIA scores or verifier packets,"copying-vs-membership false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-009,E2SCT-009,Memorization Anisotropy,prompt-memorization false-promotion,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official code, prompt mem/nmem file surface, OpenReview paper, and memorization metric description","Prompt memorization labels are not immutable image-row membership identity; no public row-bound scores, ROC arrays, metric JSON, or verifier","prompt-memorization false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-014,E2SCT-014,CDI copyrighted data identification,dataset-level-vs-per-sample false-promotion,code_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Official repo with CDI/MIA configs, feature-extraction, score-computation, and evaluation actions",Dataset-level copyrighted-data identification is not per-sample membership evidence; features and scores are runtime products,"dataset-level-vs-per-sample false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-011,E2SCT-011,VAE2Diffusion,code-and-empty-asset-link false-promotion,code_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,"Public latent-space MIA code, CVPR paper claim, empty split/checkpoint asset link, and visible split/checkpoint/cache commands","No public immutable split manifests, target checkpoint hashes, response/feature caches, per-sample scores, ROC arrays, metric JSON/CSV, or verifier","code-and-empty-asset-link false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-020,E2SCT-020,LSA-Probe music diffusion,mock-demo-score false-promotion,code_availability_would_promote; artifact_availability_would_promote; metric_code_split_would_promote; paper_claim_artifact_link_would_promote,Paper and project repo link plus GitHub Pages demo with score-like JSON arrays and mock-data generator,"Project implementation is withheld; demo score-like arrays are generated mock data with no target checkpoint, audio IDs, split manifests, score provenance, ROC/metric packet, or verifier","mock-demo-score false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-019,E2SCT-019,VidLeaks T2V,t2v-code-snapshot false-promotion,code_availability_would_promote; paper_claim_artifact_link_would_promote,DOI-backed Zenodo text-to-video MIA code snapshot with a dead related GitHub tag,"No hashable T2V target identity, exact video member/nonmember manifests, generated videos, feature/score/ROC/metric packet, or verifier","t2v-code-snapshot false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
FPR-E2SCT-024,E2SCT-024,DME,official-repo-stub false-promotion,code_availability_would_promote,Official public GitHub repository with one README-only commit and an official-implementation description,"No implementation code, linked paper, target/split manifest, checkpoint, response/feature cache, per-row scores, ROC/metric JSON, or verifier","official-repo-stub false-promotion exemplar only; not admitted, not response/score evidence, not external denominator",1,"Using only the packet facts and codebook, assign gates and decide whether weak-rule promotion would exceed the evidence-contract boundary.",prepared_not_adjudicated,,,
