item,status,evidence,decision_value
github_head,pass,"https://github.com/SPIN-UMass/Diffence refs/heads/master 2f7bb87dee863538f902098c84d0fe04ddfdcc3f","current public repo identity via git ls-remote; GitHub REST API was rate-limited"
repo_readme,pass,"Raw README is reachable and states Diffence is code for NDSS 2025, a plug-and-play defense to enhance membership privacy of undefended and defended classifier models with diffusion models","public code/paper surface could over-promote to diffusion privacy evidence"
diffusion_checkpoint_dependency,partial,"README instructs users to download pretrained diffusion model checkpoints from Google Drive and copy diff_models into cifar10/diff_defense/diff_models","diffusion artifacts are external runtime dependencies, not public frozen score/response packets in the repo"
classifier_model_dependency,partial,"README instructs users to download pretrained undefended/defended classifier models from Google Drive into final-all-models, e.g. cifar10/final-all-models/resnet/selena.pth.tar","protected target is a classifier model, not an audited diffusion generator target"
mia_evaluation_script,pass,"cifar10/evaluate_MIAs/evaluate_mia.sh generates outputs and runs dist_attack.py with and without --diff, saving results under ./results after execution","metric-code rule could over-promote runtime-generated MIA results"
dataset_partition_script,partial,"cifar10/data_partition.py downloads CIFAR-10 and partitions data locally at runtime","split/materialization is runtime-dependent for this check; no public row-bound score packet was observed"
zenodo_snapshot,pass,"https://zenodo.org/api/records/13706131 records DOI 10.5281/zenodo.13706131 and one Diffence-master.zip code snapshot size=2133861 checksum=md5:3535eb087cba81de655767510d4c2506","code-snapshot artifact exists but is not a row-score or response packet"
score_metric_artifacts,fail,"No public defended/undefended logits, MIA score rows, ROC arrays, metric JSON, or no-training verifier were observed in the no-download public surface","blocks admitted score/response evidence and external denominator promotion"
semantic_boundary,fail,"The consumer target is classifier membership privacy with diffusion purification as a defense component, not per-sample membership inference against a diffusion generator response/score asset","blocks classifier-defense-to-diffusion-generator claim escalation"
admission_decision,fail,"Keep as classifier-defense consumer-boundary false-promotion exemplar only; do not admit, do not count as external denominator, and do not release compute","use for weak-rule baseline tagging, not model/checkpoint/result reconstruction"
