ledger_id,title,lane,source_inputs,source_refreshed_at_utc,identity_status,evidence_state,next_action,missing_surfaces,allowed_use,excluded_claims,compute_release,review_status
E2Q-005,Tracing the Roots feature-packet review row,single_row_feature_packet_review,e2q005_external_style_review_aggregation_2026_06_06.csv,review_aggregation_current,reviewed_feature_packet,bounded_support,use as reviewer-calibration example; keep outside denominator counts,target checkpoint identity; raw sample IDs,provenance-limited feature-packet review row,N50 denominator; admitted row; black-box response evidence; compute release,no,3 reviewers; allowed_wording=bounded-support; target_gate=Partial; provenance_gate=Partial
C14-PACKET,C14 false-promotion hard-blind review packet,pre_label_external_review_packet,false_promotion_external_review_packet_status.csv,packet_status_current,prepared_no_reviewer_csvs,packet_ready_only,collect reviewer CSVs and declarations before aggregation,reviewer CSVs; independence declarations; majority labels; reliability thresholds,pre-label weak-rule stress-control packet,completed external adjudication; reviewer reliability; compute release,no,n_reviewers=0; external_label_aggregation_available=0; reliability_claim_allowed=0
E1-NDSS-324,NDSS-324 Reconstruction-based Attack Zenodo,second_asset_watch_compute_gated,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether public identity changed or compact row-score/metric/verifier surfaces appeared,row-bound score/response packet; metric verifier; immutable row identifiers,high-value second-asset watch row after manifest-level identity checks,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=no_compact_reopen_surface_hint; artifact_surface_hint=split_response_surface_hint; followup_bucket=priority_gate_review
E2Q-006,CopyMark compact manifest gate,compact_manifest_watch,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check GitHub and HF identity plus manifest/verifier filename changes,compact row manifest; target hashes; no-training verifier,official score-artifact support surface for compact-manifest watch,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=filename_hint_manual_gate_review_needed; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
E2-MOFIT,MoFit public score-surface replay,support_score_file_boundary,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether target checkpoint identity row manifest metric JSON or surface-delta controls appeared,target checkpoint identity; explicit row IDs; official metric JSON/ROC; surface-delta control,public score-file boundary case and support-only diagnostic,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=filename_hint_manual_gate_review_needed; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
E2SCT-029,MIA_SD public result surface,c14_v2_candidate_result_surface,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether safe CSV/JSON verifier public row IDs images or checkpoint identity appeared,safe public row IDs; public input images; immutable checkpoint identity; verifier,C14-v2 public-result-surface candidate,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=no_compact_reopen_surface_hint; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
E2SCT-031,SAMA DLM public-code surface,support_sidecar_dlm,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether committed result packets or row-bound metadata appeared,target model identity; member/nonmember row manifest; score packet; metric artifact,DLM public-code route closure,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=no_compact_reopen_surface_hint; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
E2SCT-032,MIA-EPT tabular result-page surface,support_sidecar_tabular,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether public row predictions labels metric JSON or verifier appeared,row-bound predictions or scores; labels; metric JSON/CSV; verifier,tabular result-page route closure,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=no_compact_reopen_surface_hint; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
E2SCT-033,Diffusion MIA code-and-split surface,support_sidecar_image_code_split,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether result CSV score packet checkpoint identity or verifier appeared,result CSV; row-bound scores/responses; metric JSON; checkpoint-bound verifier,image-diffusion code-and-split route closure,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=no_compact_reopen_surface_hint; artifact_surface_hint=split_checkpoint_surface_hint; followup_bucket=priority_gate_review
E2SCT-034,ReMIA tabular aggregate result archive,support_sidecar_tabular_archive,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether row-scale score or label arrays appeared,row-scale score arrays; row labels; metric verifier,tabular aggregate-archive route closure,C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=no_compact_reopen_surface_hint; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
E2SCT-035,OpenLVLM-MIA VLM controlled benchmark scout,future_vlm_stratum_scout,e2_high_value_public_asset_delta_refresh_late_2026_06_09.csv,2026-06-09T11:40:53.841513+00:00,identity_matched,no_current_upgrade,Check whether row-bound attack scores responses metric JSON or verifier appeared,row-bound attack scores or responses; metric JSON/CSV; no-training verifier; VLM consumer boundary,future VLM controlled-benchmark scout,Direction A current upgrade; C14 update; N50 denominator; admitted evidence; second public score/response asset; compute release,no,compact_reopen_surface_hint=compact_artifact_filename_hint_only; artifact_surface_hint=score_or_metric_surface_hint; followup_bucket=priority_gate_review
