citation_id,main_tex_line,paper_section,cited_keys,claim_text_anchor,expected_source_support,manuscript_claim_role,source_content_status,audit_status,boundary_note
CCA-001,47,Introduction,carlini2023extracting;somepalli2023replication,Diffusion models can memorize or replicate training examples in ways that enable membership inference attacks,"Diffusion memorization, extraction, and replication risk in generated outputs.",background-risk-motivation,metadata_verified; full-text L3 pending,pass_context_inventory,Background support only; does not establish DiffAudit row admission or field-wide prevalence.
CCA-002,52,Introduction,duan2023secmi;kong2024pia;zha2024clid;reconstruction2025blackbox;gsa2025whitebox,"black-box, gray-box, and white-box signals",Representative diffusion MIA access surfaces and score/gradient/reconstruction signal families.,related-work-taxonomy,metadata_verified; full-text L3 pending,pass_context_inventory,Taxonomy support only; not an attack leaderboard or completeness claim.
CCA-003,64,Introduction,herley2017sokscience;vanderkouwe2020benchmarking;pineau2021reproducibility,security-measurement and reproducibility norms,"Security-science, benchmarking, and reproducibility work motivate explicit evidence units, assumptions, and repeatable comparisons.",measurement-norm-framing,metadata_verified; full-text L3 pending,pass_context_inventory,Normative framing; does not turn DiffAudit sidecars into external reliability evidence.
CCA-004,109,Related Work / Membership Inference and Evidence,shokri2017membership,Membership inference asks whether a record was used during training,Foundational membership-inference formulation.,definition-background,metadata_verified; full-text L3 pending,pass_context_inventory,Definition support only; no diffusion-specific admission claim.
CCA-005,111,Related Work / Membership Inference and Evidence,yeom2018privacy;carlini2022firstprinciples,risk to overfitting and to the statistical meaning of membership scores,"Connections between membership risk, overfitting, base rates, and attack-score interpretation.",metric-interpretation-background,metadata_verified; full-text L3 pending,pass_context_inventory,Metric interpretation support only; finite-tail packet claims remain bounded.
CCA-006,113,Related Work / Membership Inference and Evidence,zhang2025cannotprove,Training-data-use claims need evidence beyond MIA scores,Position claim separating MIA evidence from proof that a specific datum trained a model.,claim-boundary-source,metadata_verified; full-text L3 pending,pass_context_inventory,Supports wording boundary; not an empirical validation of DiffAudit gates.
CCA-007,119,Related Work / Membership Inference and Evidence,das2025blind,blind baselines can outperform MIA attacks when member and nonmember sources differ,Foundation-model baseline confounding and source-difference caution.,confounding-warning,metadata_verified; full-text L3 pending,pass_context_inventory,Confounding caution only; does not report DiffAudit source-confounding rates.
CCA-008,130,Related Work / Security Measurement and Audit Claims,herley2017sokscience;vanderkouwe2020benchmarking,"scientific security claims require explicit evidence units, denominators, measurement assumptions, and reproducible comparisons",Security measurement and benchmarking quality requirements.,measurement-validity-framing,metadata_verified; full-text L3 pending,pass_context_inventory,Framing support; DiffAudit claim labels remain same-team protocol labels.
CCA-009,133,Related Work / Security Measurement and Audit Claims,carlini2022firstprinciples,accuracy and tail rates require careful base-rate and threshold interpretation,First-principles treatment of membership attack metrics and low-FPR interpretation.,metric-validity-framing,metadata_verified; full-text L3 pending,pass_context_inventory,Metric validity support; does not certify finite-packet calibrated risk.
CCA-010,135,Related Work / Security Measurement and Audit Claims,zhang2025cannotprove,separate membership evidence from proof of training-data use,Audit-oriented distinction between membership inference evidence and training-data-use proof.,claim-boundary-source,metadata_verified; full-text L3 pending,pass_context_inventory,Boundary support only; no external adjudication of DiffAudit wording.
CCA-011,145,Related Work / Diffusion Memorization and MIA,ho2020ddpm;rombach2022ldm,Diffusion models,DDPM and latent diffusion model background.,model-family-background,metadata_verified; full-text L3 pending,pass_context_inventory,Architecture background only; no privacy-risk measurement claim.
CCA-012,146,Related Work / Diffusion Memorization and MIA,carlini2023extracting;somepalli2023replication,memorized generations and membership signals,"Empirical memorization, extraction, and replication evidence in diffusion outputs.",privacy-risk-background,metadata_verified; full-text L3 pending,pass_context_inventory,Motivates privacy risk; no field-wide leakage estimate.
CCA-013,148,Related Work / Diffusion Memorization and MIA,duan2023secmi;kong2024pia;zha2024clid;tracingroots2025,"gray-box posterior, trajectory, and likelihood surrogates",Gray-box diffusion MIA and origin-attribution mechanisms.,access-surface-taxonomy,metadata_verified; full-text L3 pending,pass_context_inventory,Taxonomy support; Tracing Roots remains feature-packet support in this paper.
