item,status,evidence,decision_value
github_head,pass,"https://github.com/VITA-Group/Shake-to-Leak refs/heads/main e4690b8f63769ef2f4e20bb8ec6ca76f508c7628","current public repo identity matches prior evidence gate"
repo_readme,pass,"README describes official SatML 2024 code and a three-step local pipeline: python sp_gen.py; fine-tune with LoRA/DB/LoRA+DB/End2End; run SecMI MIA or data extraction","strong code-availability false-promotion surface"
github_releases,fail,"https://github.com/VITA-Group/Shake-to-Leak/releases shows no release assets visible","no released frozen packet or checkpoint bundle"
domain_list,pass,"data/priv_domains.json exposes 40 person domains including Joe Biden Barack Obama Taylor Swift and others","public domain list but not sample membership manifest"
synthetic_private_set_generation,fail,"sp_gen.py loads CompVis/stable-diffusion-v1-1 on cuda and generates num_gen=2000 images per domain into ./data/sp/<domain>/","SP set is generated at runtime, not a public frozen packet"
finetune_checkpoint_surface,fail,"scripts/lora_db.sh db.sh lora.sh and end2end.sh fine-tune CompVis/stable-diffusion-v1-1 from data/sp/<domain> and write ./ckpts/<domain>/","target checkpoints are local run outputs, not public fixed checkpoints"
secmi_attack_surface,fail,"scripts/secmi_sd_laion.sh runs SecMI with dataset-root ../data member-folder laion-2b nonmember-folder celeb_and_web and ckpt-path ./ckpts/<domain>","attack scores require local data and local checkpoint"
data_extraction_surface,fail,"data_extraction.py generates candidate images and compares them against local private-folder images with CLIP and pixel-space alignment","generated extraction responses are runtime outputs, not public response packets"
score_metric_artifacts,fail,"No public release/listing evidence for per-sample score arrays ROC arrays metric JSON CSV or no-training verifier","blocks metric/score contract"
admission_decision,fail,"Keep as code-availability false-promotion exemplar only; do not count as admitted row response/score asset external-audit denominator or compute release","use for measurement-route baseline tagging, not execution"
