e2_seed_id,source_table,source_row_id,title,source_url,artifact_url,observed_public_files,stratum,seed_status,first_freeze_blocker,needs_external_source_check,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate
E2S-001,artifact_corpus_v1.csv,v0-01,Reportable bundle,docs/evidence/admitted-results-summary.md,five mixed-strength reportable rows,reportable metric bundle,positive-control,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Pass,Pass,Pass,Pass,Pass,Partial
E2S-002,artifact_corpus_v1.csv,v0-02,H2 output-cloud geometry,docs/evidence/h2-output-cloud-geometry-20260525.md,existing H2 response caches,response cache plus replayed metrics,mechanism-candidate,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Pass,Pass,Pass,Pass,Partial,Partial
E2S-003,artifact_corpus_v1.csv,v0-03,SD/CelebA img2img portability,docs/evidence/h2-img2img-output-cloud-portability-20260525.md,existing SD/CelebA img2img response caches,response cache plus replayed metrics,boundary-negative,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,Pass,Pass,Pass,Pass,Fail,Pass
E2S-004,artifact_corpus_v1.csv,v0-04,CLiD official inter-output,docs/evidence/clid-identity-manifest-gate-20260515.md,official inter-output score files,score files,positive-non-admitted,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Partial,Partial,Pass,Pass,Partial,Pass
E2S-005,artifact_corpus_v1.csv,v0-05,Tracing the Roots,docs/evidence/tracing-roots-feature-packet-mia-20260515.md,OpenReview feature tensors and replay code,feature packet,positive-non-admitted,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Partial,Pass,Pass,Pass,Partial,Pass
E2S-006,artifact_corpus_v1.csv,v0-06,CopyMark official score artifacts,docs/evidence/copymark-official-score-artifact-gate-20260515.md,official result JSON/image logs/score tensors,score artifacts,artifact-rich-partial,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Partial,Partial,Partial,Partial,Partial,Pass
E2S-007,artifact_corpus_v1.csv,v0-07,ReDiffuse STL-10 scout,docs/evidence/rediffuse-stl10-bounded-scout-20260525.md,exact split plus bounded local score packet,split plus local score packet,bounded-negative,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,Pass,Pass,Pass,Pass,Fail,Pass
E2S-008,artifact_corpus_v1.csv,v0-08,CommonCanvas response packet,docs/evidence/commoncanvas-denoising-loss-20260513.md; workspaces/black-box/artifacts/commoncanvas-denoising-loss-20260513.json,real 50/50 query-response contract,response packet,bounded-negative,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,Partial,Pass,Pass,Pass,Fail,Pass
E2S-009,artifact_corpus_v1.csv,v0-09,MIDST Blending++,docs/evidence/midst-blending-plus-plus-scout-20260515.md,official score exports plus local labels,score exports,bounded-negative,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Partial,Pass,Pass,Pass,Partial,Pass
E2S-010,artifact_corpus_v1.csv,v0-10,Separately supplied SD ReDiffuse,docs/evidence/stable-diffusion-rediffuse-collaborator-artifact-20260517.md,restricted 5000-row packet and ROC files,restricted score packet,source-confounded,candidate_for_freeze_review,consumer/delta boundary needs blind review,1,Partial,Partial,Pass,Pass,Fail,Pass
E2S-011,artifact_corpus_v1.csv,v0-11,Quantile/SecMI public packet,docs/evidence/quantile-diffusion-mia-secmia-terror-replay-20260515.md,third-party t_error score rows and splits,score packet,support-only,candidate_for_freeze_review,eligible for E2 blind freeze review,1,Partial,Pass,Pass,Pass,Partial,Partial
E2S-012,artifact_corpus_v1.csv,v1-01,Identity-Focused Inference / Extraction,docs/evidence/identity-focused-inference-extraction-artifact-gate-20260523.md,arXiv 2410.10177v1; no official repository found,paper source and metadata,metadata-only-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-013,artifact_corpus_v1.csv,v1-02,RAPTA / ADMCD copying mitigation,docs/evidence/rapta-admcd-copying-mitigation-artifact-gate-20260523.md,arXiv 2603.13070v1; no official repository found,paper source and metadata,metadata-only-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-014,artifact_corpus_v1.csv,v1-03,GUARD surgical mitigation,docs/evidence/guard-surgical-mitigation-artifact-gate-20260523.md,official GitHub kairanzhao/GUARD; scripts but no row packet,code-public repository,code-public-no-packet,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-015,artifact_corpus_v1.csv,v1-04,BAF LoRA parameter-space mitigation,docs/evidence/baf-lora-parameter-space-mitigation-gate-20260523.md,arXiv 2605.10439v1; supplementary-code claim only,paper source and metadata,metadata-only-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-016,artifact_corpus_v1.csv,v1-05,Broken Memories,docs/evidence/broken-memories-artifact-gate-20260523.md,arXiv 2605.22050v1; no official code found,paper source and metadata,metadata-only-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-017,artifact_corpus_v1.csv,v1-06,IAR Privacy Attacks,docs/evidence/iar-privacy-attacks-artifact-gate-20260523.md,official GitHub sprintml/privacy_attacks_against_iars,code-public repository,code-public-no-packet,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
E2S-018,artifact_corpus_v1.csv,v1-07,Silent Brush / Art Arena,docs/evidence/silent-brush-artarena-artifact-gate-20260523.md,arXiv 2605.17500v1; anonymous code-notebook inventory only,metadata-readable code inventory,metadata-only-no-artifact,weak_seed_only,most gates fail: target_gate;split_gate;evidence_gate;metric_gate;boundary_gate,1,Fail,Fail,Fail,Fail,Fail,Pass
