item,status,evidence,boundary
repository_commit,partial,"`git ls-remote https://github.com/lijingwei0502/diffusion_mia.git HEAD refs/heads/*` returned `26e6471c15472bf89ee49ff3057f66a5407dae00` for HEAD and main on 2026-06-09.","code identity is fixed; target/split/score packet is incomplete"
tree_surface,partial,"The public tree exposes DDIM, DiT, and Stable Diffusion attack code plus `DDIM/CIFAR10_train_ratio0.5.npz` and `DDIM/CIFAR100_train_ratio0.5.npz`; no committed `result.csv`, `results.csv`, score table, ROC array, metric JSON/CSV, verifier, checkpoint packet, generated response packet, or release asset was observed.","public code and split-index surface only"
ddim_split_files,partial,"`DDIM/CIFAR10_train_ratio0.5.npz` and `DDIM/CIFAR100_train_ratio0.5.npz` contain `mia_train_idxs` and `mia_eval_idxs` with `25,000` indices per side and `ratio=0.5`; `DDIM/dataset_utils.py` also references `STL10_train_ratio0.5.npz`, but that file is not present in the public tree.","DDIM CIFAR split indices are public, but no target checkpoint, score row, metric artifact, or verifier is bound to them"
ddim_runtime_dependency,fail,"`DDIM/attack.py` loads `logs/DDPM_<DATASET>_EPS/ckpt-step<STEP>.pt`, reads raw datasets under `DDIM/data/datasets/pytorch`, computes metrics at runtime, and appends local `result.csv`.","checkpoint and score outputs are local runtime products"
stable_diffusion_runtime_dependency,fail,"`Stable_Diffusion/attack.py` loads `CompVis/stable-diffusion-v1-4`, while `Stable_Diffusion/dataset.py` expects local `stable_diffusion_data`, COCO files, `val-list-2500-random.npy`, generated-caption CSVs, and `coco-2500-random.yaml`; the README command names `attack_sd.py`, while the public file is `Stable_Diffusion/attack.py`; results are appended to local `result.csv`.","pretrained model name is public, but member/nonmember rows, generated captions, scores, and metrics are not committed"
dit_runtime_dependency,fail,"`DiT/attack.py` can auto-load a pretrained DiT checkpoint, but member and nonmember inputs are local `ImageFolder` paths such as `/data_server3/ljw/imagenet/member_512` and `/data_server3/ljw/imagenet/val`; results are appended to local `results.csv`.","local data and runtime score products block no-training replay"
target_split_gate,partial,"Stable Diffusion and DiT target names are partly public, and DDIM CIFAR split indices are public, but run-specific target checkpoints, hashes, and several member/nonmember row manifests are absent.","not a denominator row or second asset"
score_metric_gate,fail,"No ready row-bound score, response, prediction, generated-image packet, ROC array, completed result CSV, metric JSON/CSV, or no-training verifier is public.","not a second public score/response asset"
consumer_delta_gate,fail,"The repo is in the image-diffusion black-box MIA lane, but no public audit-consumer packet, label-shuffle control, permutation control, or surface-delta packet is committed.","not admitted evidence"
admission_decision,fail,"support-only black-box diffusion MIA code-and-split surface; row_bound_score_response_packet_missing; no_compute_release","do not admit, do not add to current C14/N50, do not release compute"
