batch_id,frozen_at,source,exact_query,result_rank,result_count,title,paper_or_repo_url,artifact_url,artifact_surface,observed_public_files,no_download_policy,inclusion_decision,exclusion_reason,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate,reviewer,reviewed_at
bs20260527-hf-01,2026-05-27,Hugging Face Hub,"diffusion membership inference",0,0,"no model result in HF model search",n/a,n/a,"no result","empty model-search result set","API metadata only; no model files; no datasets; no Space execution",excluded_no_result,"HF model search returned zero records",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-hf-02,2026-05-27,Hugging Face Hub,"diffusion memorization privacy",0,0,"no model result in HF model search",n/a,n/a,"no result","empty model-search result set","API metadata only; no model files; no datasets; no Space execution",excluded_no_result,"HF model search returned zero records",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-hf-03,2026-05-27,Hugging Face Hub,"stable diffusion membership inference",0,0,"no model result in HF model search",n/a,n/a,"no result","empty model-search result set","API metadata only; no model files; no datasets; no Space execution",excluded_no_result,"HF model search returned zero records",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-zenodo-01,2026-05-27,Zenodo,"title:\"diffusion membership inference\"",0,0,"no title-exact Zenodo record",n/a,n/a,"no result","empty title-exact record search","API metadata only; no record files; no archives; no PDF download",excluded_no_result,"Zenodo title-exact query returned zero records",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-zenodo-02,2026-05-27,Zenodo,"title:\"diffusion memorization privacy\"",0,0,"no title-exact Zenodo record",n/a,n/a,"no result","empty title-exact record search","API metadata only; no record files; no archives; no PDF download",excluded_no_result,"Zenodo title-exact query returned zero records",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-zenodo-03,2026-05-27,Zenodo,"title:\"stable diffusion membership inference\"",0,0,"no title-exact Zenodo record",n/a,n/a,"no result","empty title-exact record search","API metadata only; no record files; no archives; no PDF download",excluded_no_result,"Zenodo title-exact query returned zero records",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-openreview-01,2026-05-27,OpenReview,"diffusion membership inference",1-10,10,"no titled paper record in first 10 API search hits","https://api2.openreview.net/notes/search?term=diffusion%20membership%20inference&limit=10",n/a,"untitled note/search-hit metadata","10 search hits with empty title/venue/pdf fields in API response","API metadata only; no PDFs; no proceedings crawl; no artifact download",excluded_unstructured_search_hits,"No titled paper or artifact surface was identified in first 10 returned notes",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-openreview-02,2026-05-27,OpenReview,"diffusion memorization privacy",1-10,10,"no titled paper record in first 10 API search hits","https://api2.openreview.net/notes/search?term=diffusion%20memorization%20privacy&limit=10",n/a,"untitled note/search-hit metadata","10 search hits with empty title/venue/pdf fields in API response","API metadata only; no PDFs; no proceedings crawl; no artifact download",excluded_unstructured_search_hits,"No titled paper or artifact surface was identified in first 10 returned notes",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
bs20260527-openreview-03,2026-05-27,OpenReview,"stable diffusion membership inference",5-8,10,"Towards More Realistic Membership Inference Attacks on Large Diffusion Models","https://openreview.net/forum?id=CzsDfLrcTs; https://openreview.net/forum?id=iBRAvbVjPd; https://openreview.net/forum?id=BYiX0cogWH; https://openreview.net/forum?id=Pmkt85RIbs",n/a,"duplicate OpenReview/CoRR/WACV paper metadata","two WACV/IEEE PDF links and two CoRR/arXiv PDF links in API metadata; no row-bound artifact packet observed","API metadata only; no PDFs; no proceedings crawl; no artifact download",included_duplicate_metadata,"Duplicates the 2026-05-26 arXiv metadata row for the same paper; no new public score/response artifact checked",Partial,Fail,Fail,Fail,Partial,Pass,opus,2026-05-27
bs20260527-openreview-04,2026-05-27,OpenReview,"stable diffusion membership inference","1-4;9-10",10,"six untitled API search hits","https://api2.openreview.net/notes/search?term=stable%20diffusion%20membership%20inference&limit=10",n/a,"untitled note/search-hit metadata","six search hits with empty title/venue/pdf fields in API response","API metadata only; no PDFs; no proceedings crawl; no artifact download",excluded_unstructured_search_hits,"Untitled search-hit records do not define paper or artifact surfaces for this no-download batch",Fail,Fail,Fail,Fail,Fail,Fail,opus,2026-05-27
