summary_type,label,count,target_n50_gap_after_candidate_review
seed_status,candidate_for_freeze_review,12,27
seed_status,exclude_no_public_source,10,27
seed_status,needs_artifact_followup,11,27
seed_status,weak_seed_only,18,27
stratum,L1 artifact inspection,3,
stratum,artifact-rich-partial,1,
stratum,boundary-negative,1,
stratum,bounded-negative,3,
stratum,code-public-no-packet,2,
stratum,excluded_no_result,10,
stratum,excluded_query_noise,1,
stratum,excluded_unstructured_search_hits,3,
stratum,included_duplicate_metadata,1,
stratum,included_existing_gate,3,
stratum,included_existing_watch,1,
stratum,included_metadata_only,7,
stratum,included_new_metadata,1,
stratum,mechanism-candidate,1,
stratum,metadata-only-no-artifact,7,
stratum,positive-control,1,
stratum,positive-non-admitted,2,
stratum,source-confounded,1,
stratum,support-only,1,
stratum,withdrawn-no-artifact,1,
