provenance_id,path,source_kind,availability_tier,sha256,repo_commit,repo_tree_state,generator_command,exists,note
admitted-summary,docs/evidence/admitted-results-summary.md,evidence-note,research-workspace,e1d79c1be4749fd3c2be1a63c986628d4b53bc05ae6759f6bb4d75b1e5d79a70,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Human-readable source summary; used only with bundle/score provenance.
admitted-bundle,workspaces/implementation/artifacts/admitted-evidence-bundle.json,machine-readable-bundle,research-workspace,fedc62ebcd91ed5b92b8971365a5bb4687f4445deae995ad6b990a6da0bf31ec,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,"Reportable rows, roles, metrics, costs, and finite-tail semantics."
pia-row-scores,workspaces/gray-box/runs/pia-cifar10-runtime-mainline-20260409-gpu-512-adaptive/adaptive-scores.json,row-score-array,research-workspace,cb5e68e5f03d70ee676a22134f4ffa7b000bc528f230b6cfcbf52b370f690bec,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Direct row scores for PIA metric replay and bootstrap sidecar.
pia-dropout-row-scores,workspaces/gray-box/runs/pia-cifar10-runtime-mainline-dropout-defense-20260409-gpu-512-allsteps-adaptive/adaptive-scores.json,row-score-array,research-workspace,1863b11f1821d84cfe7109640ca4dd4e7a319fc672729920d95f45b6717db2df,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Direct row scores for the stochastic-dropout comparator sidecar.
dpdm-target-scores,workspaces/white-box/runs/dpdm-w1-multi-shadow-comparator-targetmember-strongv3-3shadow-full-rerun8-20260408/scores.json,target-score-array,research-workspace,6e2854aa475382ad0ce0a5bb758cc003f5fffdc18810a5d1c97635ad2b9465e9,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Target member/nonmember score arrays for the DPDM W-1 bridge sidecar.
h2-main,workspaces/black-box/artifacts/h2-output-cloud-geometry-20260525.json,response-metric-artifact,research-workspace,d19f1fd4d942156add7899fd5f798cba9c9dc8ca040a80d774d3f182172feea2,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Main H2 output-cloud candidate metrics and recorded aggregate interval.
h2-label-shuffle,workspaces/black-box/artifacts/h2-output-cloud-geometry-label-shuffle-20260525.json,response-metric-artifact,research-workspace,1e9adce7939f5ec47bf18ea1771c46d774436df0d4410655b7bcac1d527e7138,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,H2 label-shuffle sanity artifact.
h2-shared-position,workspaces/black-box/artifacts/h2-output-cloud-geometry-shared-position-256-20260525.json,response-metric-artifact,research-workspace,dcefed946cad37edb21780156c12ac8eee20f53a6f648fd92be406bd055efd07,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Shared-position seed-offset control for H2.
h2-shared-position-shuffle,workspaces/black-box/artifacts/h2-output-cloud-geometry-shared-position-256-label-shuffle-20260525.json,response-metric-artifact,research-workspace,7d9a49158162f370ce961d737e3a5405411ebf40e9e6937d0495bfadf4d5c758,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Shared-position label-shuffle sanity artifact.
h2-seed177-shared-position,workspaces/black-box/artifacts/h2-output-cloud-geometry-shared-position-seed177-256-20260525.json,response-metric-artifact,research-workspace,faace8b0bc778ab63c7a65613547bf3bb5b1ccd8d41bc8334fe24fbc83358380,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Seed-177 shared-position stability artifact.
h2-seed177-shuffle,workspaces/black-box/artifacts/h2-output-cloud-geometry-shared-position-seed177-256-label-shuffle-20260525.json,response-metric-artifact,research-workspace,d12ce2fc88c2ec6fb4d27092c23657b3c3e579a4a001de40c064ae2e6ec943a2,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Seed-177 label-shuffle sanity artifact.
h2-transfer,workspaces/black-box/artifacts/h2-output-cloud-transfer-shared-position-256-20260525.json,response-metric-artifact,research-workspace,86a69f74c4dd835546c001bc85b4d55f4d55b69ddc84759c6d930ef1fb3806f9,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Same-family cache-reuse stability artifact.
h2-img2img-portability,workspaces/black-box/artifacts/h2-img2img-output-cloud-portability-20260525.json,response-metric-artifact,research-workspace,4e2afd636744e732ac46603f46c473f80667f86b5ffa9aff680cbe921e79181d,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Negative img2img portability/admission boundary artifact.
commoncanvas-denoising,workspaces/black-box/artifacts/commoncanvas-denoising-loss-20260513.json,score-packet-artifact,research-workspace,b2b359e527001dff0acbc6e07e47683ea3a4f518d2351bc1b3a8e0c3c57210ef,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,CommonCanvas 50/50 conditional denoising-loss negative row.
rediffuse-stl10-bounded-scout,docs/evidence/rediffuse-stl10-bounded-scout-20260525.md,evidence-note,research-workspace,8acad93cd1785a0268b164941b3daa8245f38108f4c4e61248b5ce775113b89a,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,ReDiffuse STL-10 denoising-loss bounded negative scout.
rediffuse-stl10-score-norm,docs/evidence/rediffuse-stl10-sima-score-norm-20260525.md,evidence-note,research-workspace,53c0db26af188d79e5611f87f87a045250674ee648a9faf7cc5b6cdee80ecb9b,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,ReDiffuse STL-10 score-norm bounded negative scout.
stl10-rediffuse-route-summary,papers/diffaudit-evidence-paper/data/stl10_rediffuse_route_summary.csv,generated-route-summary-csv,paper-workspace,d20d8591721ce5e900baa4a36f9b848dd4235b912e5fd2b94d1b248daeee9ef7,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Generated STL-10 DDIM/ReDiffuse strict-vs-overfit route summary; support/negative only.
tracing-roots-feature-packet,workspaces/gray-box/artifacts/tracing-roots-feature-packet-mia-20260515.json,feature-packet-artifact,research-workspace,b1bf925472ade2da3074e462a9e6b63c49351b58b09d5f640fc01c18d63671a6,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Positive feature-packet support row with raw-image consumer caveat.
midst-blending-scout,docs/evidence/midst-blending-plus-plus-scout-20260515.md,evidence-note,research-workspace,9270c1a11169600a2b042af45271a8be6df5b8477b28df7be40a7e7d2f09144d,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,MIDST Blending++ related negative route note.
sd-rediffuse-collaborator,docs/evidence/stable-diffusion-rediffuse-collaborator-artifact-20260517.md,evidence-note,research-workspace,2d676cfe026330e89820735f827e20a09f7e02c05d4242a9dd5320612c21d624,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Separately supplied Stable Diffusion ReDiffuse packet with source-confounding caveat.
mofit-public-score-preflight,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2_mofit_public_score_surface_preflight_2026_06_08.md,internal-preflight-note,research-workspace,df347588ea25cb0c879b1c0bce98b89a05566a49e57e9e4b8468345b958a5f23,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,MoFit public COCO score replay and admission-boundary note; support-only and all six gates non-Pass.
mofit-public-replay-script,scripts/replay_mofit_public_coco_scores.py,network-replay-verifier,research-workspace,31191f12a1eeb2e7008e28e549d449401cb72cd3a74a87ffa0787f6965794b8c,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,"Small-file public MoFit verifier; fetches four official COCO score text files plus two caption JSONL files, recomputes metrics, and can emit audit outputs."
mofit-public-score-metrics,papers/diffaudit-evidence-paper/data/mofit_public_score_metrics.json,generated-score-audit-json,paper-workspace,c1da6605764b4288728eb691e2f187a3d6bc604e20e26cd1efb857650388c522,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,"MoFit best metrics, low-FPR denominator note, bootstrap CI, permutation null, and file metadata; support-only and all six gates non-Pass."
mofit-public-score-alpha-sweep,papers/diffaudit-evidence-paper/data/mofit_public_score_alpha_sweep.csv,generated-score-audit-csv,paper-workspace,00bd3c5ee5231e2cedd221f3e3acc7950969020c39061618ae9b65c758d95c03,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,MoFit alpha sweep with finite low-FPR denominator columns; support-only and all six gates non-Pass.
mofit-public-score-file-manifest,papers/diffaudit-evidence-paper/data/mofit_public_score_file_manifest.csv,generated-public-file-manifest,paper-workspace,f8548b8b9abe9a628c0895116aaf0e9dbf972db783535f837464cd233716dd24,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,MoFit public score-file size/hash/shape and row-order anchor hashes with sanitized header preview.
mofit-public-score-roc,papers/diffaudit-evidence-paper/data/mofit_public_score_roc.csv,generated-score-audit-csv,paper-workspace,3da9a8fb78a4e016416c7cb5d17a8cce15fea023a34211b0b85df0f5b70920ff,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,MoFit best-alpha threshold/ROC rows; support-only and all six gates non-Pass.
mofit-public-score-position-manifest,papers/diffaudit-evidence-paper/data/mofit_public_score_position_manifest.csv,generated-position-manifest,paper-workspace,9d851937b6d17f3e808160f837390472c302a116be83f810115ecf5fc41f9cb4,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Implicit file-position manifest for MoFit train/test rows; not explicit public row IDs or admitted row binding.
mofit-public-gate-status,papers/diffaudit-evidence-paper/data/mofit_public_gate_status.csv,generated-gate-status,paper-workspace,179dd4833f9d7709fff0b3344ce7b0fa0d491efd7113830fc84906d2782b41d8,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Machine-readable six-gate status for the MoFit public score-surface replay; support-only and all six gates non-Pass.
mofit-public-caption-position-manifest,papers/diffaudit-evidence-paper/data/mofit_public_caption_position_manifest.csv,generated-support-position-manifest,paper-workspace,db138d191d9c2ec06ed908c3a4e25087d8928accc946bbb6e067fa68bc7a33d5,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,Support-only caption-order anchors for MoFit score positions; not certified row binding or admitted evidence.
c14-e2-external-adjudication-preregistration,docs/internal/c14-e2-external-adjudication-preregistration-2026-06-09.md,internal-preregistration,research-workspace,a4eb8190ae33d890494d4cf3c5af3539abfef01260140275f1edd4e06deead41,1c980a9c6ffb7615f65e93206b77416e978e5cf6,dirty,python -X utf8 papers/diffaudit-evidence-paper/scripts/build_paper_assets.py,true,"C14/E2 pre-label preregistration; pre_label_preregistered, prepared_no_reviewer_csvs, n_reviewers=0, packet_ready_only, reviewer ZIP 105a0515cfc4c5fc73e2f3b6e23a5a2413d972a0dcff809b7abfaf93d990f4e4, post-label key path and sha256 sidecar frozen outside self-referential source_provenance hashing, not external label result, and not report completed external adjudication."
