rank,candidate_id,title,stratum,source_url,why_interesting,gate_snapshot,main_blocker,relative_to_e2q005,next_action
1,E2Q-005,Tracing the Roots,image_diffusion_feature_packet,https://openreview.net/forum?id=mE74JKHTCE,Public OpenReview supplement has fixed CIFAR10 train/eval member/external feature tensors and replay-aligned hashes,"Target Partial; Split Pass; Score/response Pass_feature_packet_only; Metric Pass; Provenance Partial; Consumer Pass_research_side_only",Raw target checkpoint identity and raw sample ids are absent,Current top package-work row,Send only as single-row feature-packet skeleton; do not call it N50 external adjudication
2,E2Q-006,CopyMark official score artifacts,image_diffusion_score_artifact_support,https://github.com/caradryanl/CopyMark,Official public artifact layer includes image logs aggregate metric JSONs and selected score tensors across non-CommonCanvas families,"Target Partial; Split Partial; Score Partial; Metric Partial; Provenance Partial; Consumer Pass",Authenticated no-download recheck still finds no compact public row manifest joining filename role target/checkpoint per-row score and metric source,Closest image-diffusion challenger but does not outrank E2Q-005,Retry only if GitHub commit moves HF dataset SHA changes with manifest-level files or authors publish compact row manifest plus verifier
3,E2Q-004,CLiD official inter-output,image_diffusion_score_support,https://github.com/zhaisf/CLiD,Public numeric inter_output score files and metric scripts support strong prompt-conditioned signal,"Target Partial; Split Partial; Score Pass; Metric Pass; Provenance Partial; Consumer Pass",Score rows lack COCO image ids captions filenames split ids or row identity and HF ZIP remains gated,Strong support but identity unsafe,Look only for a public row-to-COCO identity manifest
4,E2Q-011,Quantile/SecMI public packet,third_party_score_support,https://github.com/neilkale/quantile-diffusion-mia,Public third-party rows include image_id plus t_error and split manifests,"Target Partial; Split Pass; Score Pass; Metric Pass; Provenance Partial; Consumer Partial",Not official Quantile Regression evidence and overlaps SecMI-family support,Support-only; does not outrank E2Q-005,Reopen only if official quantile outputs or author-blessed verifier appear
5,E2SCT-001,MT-MIA relational diffusion score packet,tabular_relational_possible_stratum,https://github.com/joshward96/MT-MIA,Best separate tabular/relational lead with public split/score/metric hints,"Target Partial; Split Partial; Score Partial; Metric Partial; Provenance Partial; Consumer Fail",Relational/tabular boundary and row-id binding need separate consumer decision,Best non-image lead but not same denominator,Consider only if E2 explicitly opens a tabular/relational stratum
6,E2SCT-022,Tabular Privacy Leakage TDM,tabular_watch,https://arxiv.org/abs/2605.06835,Current paper is directly about tabular diffusion privacy leakage and attacker knowledge,"Target Partial; Split Fail; Score Fail; Metric Partial; Provenance Partial; Consumer Fail",Paper/toolkit surface only; no public row-bound score packet confirmed,Tabular watch only,Track for future public artifacts but do not count
7,E2SCT-010,SimA score-based MIA,code_public_mechanism_watch,https://github.com/mx-ethan-rao/SimA,README lists many model dataset split settings and attack commands,"Target Partial; Split Partial; Score Fail; Metric Partial; Provenance Partial; Consumer Partial",Scripts/checkpoint pointers but no public row-level score or feature packet,Mechanism watch; not closer than E2Q-005,Reopen only if public score/feature packets or fixed split manifests appear
8,E2Q-014,FSECLab MIA-Diffusion,code_public_mechanism_watch,https://github.com/fseclab-osaka/mia-diffusion,Official code exposes DDIM/DCGAN MIA execution surfaces,"Target Partial; Split Partial; Score Fail; Metric Partial; Provenance Partial; Consumer Partial",No public checkpoint-bound score/response/metric packet,Code-public support only,Do not run training or sampling; wait for frozen artifacts
9,E2SCT-025,Hyperparameter-Free SecMI reproduction,secmia_duplicate_support,https://github.com/mohammadKazzazi/Membership-Inference-Attack-against-Diffusion-Models,README reports aggregate AUC/TPR and SecMI reproduction context,"Target Partial; Split Partial; Score Partial_aggregate_only; Metric Partial; Provenance Partial; Consumer Partial",No committed immutable score/split packet and depends on official checkpoints/runs,Support-only duplicate risk,Do not count; track only if row-level packet appears
10,E2SCT-026,MIAGM,mechanism_reference,https://github.com/minxingzhang/MIAGM,Official black-box generative MIA code with broad model coverage,"Target Partial; Split Partial; Score Fail; Metric Partial; Provenance Partial; Consumer Partial",Requires user-supplied train/test in/out paths and no public target/split/score packet,Mechanism reference only,Do not count unless bundled row-bound packet appears
11,E2SCT-027,Memorization-LDM,memorization_copying_support,https://github.com/Cardio-AI/memorization-ldm,Zenodo/GitHub surface for medical latent-diffusion memorization/copy detection,"Target Partial; Split Fail; Score Fail; Metric Partial; Provenance Partial; Consumer Fail",Synthetic samples shared on request and semantics are memorization/copying not pointwise MIA,Not a membership-row peer,Keep as related-method support only
