field,value
package_id,E2Q-005-single-row-skeleton-2026-06-06
queue_id,E2Q-005
source_seed_id,E2S-005
title,Tracing the Roots
scope,single-row feature-packet blind-review skeleton only
not_scope,N50 external adjudication; black-box response benchmark; raw checkpoint replay; Platform/Runtime admission
canonical_source_url,https://openreview.net/forum?id=mE74JKHTCE
supplement_url,https://openreview.net/attachment?id=mE74JKHTCE&name=supplementary_material
supplement_zip_size,45499156
supplement_zip_sha256,62e9ae3833bcc0f102612d05898262eea2b6025fe8949a72c3f055a8534c7b41
supplement_entry_count,12
identity_json,docs/internal/e2-n50-freeze-preflight-2026-06-06/e2q005_tracing_roots_openreview_identity_2026_06_06.json
replay_json,workspaces/gray-box/artifacts/tracing-roots-feature-packet-mia-20260515.json
feature_packet_entries,"data/cifar10/train/member.pt; data/cifar10/train/external.pt; data/cifar10/eval/member.pt; data/cifar10/eval/external.pt"
tensor_raw_shape_each,"1000 x 3000"
tensor_selected_shape_each,"1000 x 1002 from replay contract"
train_samples,2000
eval_samples,2000
positive_class,member
metric_auc,0.815826
metric_accuracy,0.7375
metric_tpr_at_1pct_fpr,0.134
metric_tpr_at_0_1pct_fpr,0.038
target_gate,Partial
split_gate,Pass
score_or_response_gate,Pass_feature_packet_only
metric_gate,Pass
provenance_gate,Partial
consumer_or_delta_gate,Pass_research_side_only
first_blocker,raw target checkpoint identity and raw sample ids are absent
adjudication_readiness,no_go_n50_single_row_skeleton_only
allowed_wording,"Public supplementary CIFAR10 diffusion-trajectory feature-packet MIA surface with fixed member/external train/eval tensor roles and local replay metrics; positive but provenance-limited Research-side evidence only."
forbidden_wording,"N50 evidence; external adjudication row; black-box response benchmark; raw checkpoint/sample provenance; Platform/Runtime admitted row; fully reproducible from raw target/data assets."
next_gate,External reviewer can judge whether feature-packet-only evidence is acceptable for an E2 false-promotion study row; N50 still requires enough distinct countable rows.
