item,status,evidence,decision_value
starter_repo,pass,"https://github.com/PMBio/Health-Privacy-Challenge is the CAMDA 2026 ELSA Health Privacy Challenge starter package","public starter package can over-promote a gated benchmark if not separated from real target data"
root_readme,pass,"README says datasets are downloaded from the ELSA benchmark platform after registration and signing a data download agreement","actual challenge data is gated, not a public E2 denominator surface"
track_i_scope,pass,"Track I is blue-team generative methods vs red-team membership inference attacks for bulk RNA-seq synthetic data","real MIA benchmark interface, but biomedical tabular not image-diffusion"
track_ii_scope,pass,"Track II defines donor-level privacy for synthetic single-cell RNA-seq and uses donor-level score aggregation","cross-domain privacy setting; needs separate consumer boundary"
data_readme,pass,"data/README.md describes TCGA-BRCA 1089x978 and TCGA-COMBINED 4323x978 preprocessing and points users to the ELSA platform for downloads","dataset metadata is public but usable data access is platform-gated"
red_team_mia_readme,pass,"Track I red-team README lists MC LOGAN GAN-Leaks calibrated GAN-Leaks DOMIAS KDE Confidence LR and Confidence RF and evaluates accuracy AUC AUPR and TPR at FPR 0.01 and 0.1","metric-code/starter-rule could over-promote the row"
public_example_packet,pass,"The repo exposes running_baseline_example.zip in the red-team folder and the prior evidence gate recomputed public example AUC 0.565453 with 1089 candidate rows","public example is a sanity packet, not actual Noisy Diffusion challenge evidence"
blue_team_generation_config,pass,"Track I blue-team config includes multivariate CVAE DP-CVAE CTGAN CVAE-GMM WGAN-GP and DP-CTGAN generator settings with CUDA-oriented configs","generator code/config exists but does not publish actual challenge target packets"
single_cell_privacy_config,pass,"Track II privacy config uses onek1k membership labels and sc_domias_baselines for a Poisson subset example","single-cell example is cross-domain and not current image-diffusion evidence"
release_surface,partial,"GitHub releases page exposes a release surface, and prior evidence recorded public example ZIPs, but no current public actual-challenge score packet is identified","release/example visibility does not imply public target labels and score packets for the real challenge"
score_metric_artifacts,partial,"Public starter examples and README tables expose metric contracts and example scores, but actual challenge labels, predictions, Noisy Diffusion targets, and metadata require platform access or participant submissions","blocks external denominator and admitted evidence for the real benchmark"
admission_decision,fail,"Keep as gated-benchmark and starter-metric false-promotion exemplar only; do not count as admitted row response/score asset external-audit denominator or compute release","use for measurement-route baseline tagging, not execution"
