pilot_id,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,E,Pass,Pass,Pass,Pass,Pass,Pass,admitted,,"Internal admitted bundle names target rows metrics evidence level and consumer boundary"
E2P-002,E,Pass,Pass,Pass,Pass,Partial,Partial,bounded-support,no admitted consumer contract,"Exact local response caches and row counts support a bounded Research mechanism claim only"
E2P-003,E,Partial,Fail,Partial,Partial,Partial,Fail,bounded-support,missing row identity manifest,"Official numeric score files exist but rows are not bound to COCO identities captions or immutable split manifest"
E2P-004,E,Partial,Partial,Partial,Partial,Partial,Fail,bounded-support,missing compact row manifest,"Official aggregate logs tensors and image logs support Research evidence but not a joined row score checkpoint verifier contract"
E2P-005,E,Pass,Pass,Pass,Pass,Partial,Partial,bounded-support,weak signal not admitted,"Exact split and local row score packet support a bounded negative scout conclusion"
E2P-006,E,Partial,Pass,Pass,Pass,Partial,Fail,candidate-only,source confounded and nonpublic provenance,"Restricted collaborator packet is replayable but label is perfectly aligned with LAION versus COCO source"
E2P-007,E,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,no row-bound scores or responses,"Official code is public and relevant but no committed score packet response packet verifier or immutable split manifest is visible"
E2P-008,E,Fail,Fail,Fail,Fail,Fail,Fail,blocked,withdrawn metadata only,"Withdrawn arXiv record has no current PDF official code or artifact packet"
E2P-009,E,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,no checkpoint-bound score packet,"Public code and deterministic split construction are visible but no row-bound committed scores or verifier are in the row packet"
E2P-010,E,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,no committed score or manifest packet,"Public scripts exist but README and code surfaces alone do not expose row-bound scores responses or verifier output"
E2P-011,E,Fail,Fail,Fail,Fail,Partial,Fail,blocked,metadata only,"ArXiv metadata only in this batch exposes no concrete target split score response or metric artifact"
E2P-012,E,Fail,Fail,Fail,Fail,Partial,Fail,blocked,metadata only,"ArXiv metadata only in this batch exposes no concrete target split score response or metric artifact"
E2P-013,E,Partial,Pass,Fail,Fail,Partial,Partial,bounded-support,missing row-bound scores or responses,"Dataset surface gives member and nonmember shards and row counts but no attack scores responses or verifier packet"
E2P-014,E,Partial,Pass,Fail,Fail,Partial,Partial,bounded-support,missing row-bound scores or verifier,"Official code and split npz files support reproduction-context wording but no committed score packet is described"
E2P-015,E,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,no committed row-bound scores,"Code and README describe index generation and score outputs but the row packet contains no exposed scores responses or verifier"
