review_id,source_row_id,title,reviewer,gate_allowed_values,verdict_allowed_values,compute_release_allowed_values,target_gate,split_gate,score_or_response_gate,metric_gate,semantic_boundary_gate,provenance_gate,consumer_boundary_gate,false_promotion_verdict,first_blocker,allowed_wording,compute_release,notes
FPR-E2SCT-004,E2SCT-004,GenAI Confessions / STROLL,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-012,E2SCT-012,Shake-to-Leak,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-016,E2SCT-016,MIAHOLD / HOLD++,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-021,E2SCT-021,ELSA Health Privacy Challenge,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-002,E2SCT-002,DMin,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-005,E2SCT-005,DIFFENCE,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-013,E2SCT-013,DCR,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-009,E2SCT-009,Memorization Anisotropy,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-014,E2SCT-014,CDI copyrighted data identification,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-011,E2SCT-011,VAE2Diffusion,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-020,E2SCT-020,LSA-Probe music diffusion,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-019,E2SCT-019,VidLeaks T2V,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
FPR-E2SCT-024,E2SCT-024,DME,,Pass|Partial|Fail|N/A,false_promotion_control|semantic_boundary_block|artifact_surface_block|needs_external_adjudication|invalid_row,no|yes_with_full_contract,,,,,,,,,,,,
