item,status,evidence,boundary
repository_commit,partial,"`git ls-remote https://github.com/yamanalab/openlvlm-mia.git HEAD refs/heads/* refs/tags/*` returned `879265f7a17cdf616bad90b9d1ba29b213eccd4d` for HEAD/main on 2026-06-09.","public code identity is fixed for this check"
readme_surface,partial,"The raw README describes `OpenLVLM-MIA` as a controlled 6,000-image benchmark with member/nonmember labels at three training stages and links code, HF dataset, HF model, arXiv, and WACV 2026 paper surfaces.","VLM controlled-benchmark surface, not current image-diffusion Direction A evidence"
dataset_identity,partial,"`git ls-remote https://huggingface.co/datasets/paper-2229/openlvlm-mia HEAD refs/heads/*` returned `a4656ebdf1e0ba8c04fae43acd8022e6cc699bbb` on 2026-06-09.","HF dataset identity is fixed for this check"
dataset_schema,partial,"HF dataset README/API exposes features `image`, `label`, and `parent_dataset`; splits are `vision_encoder_pretrain`, `projector_pretrain`, and `instruction_tuning`, each with `2,000` examples; total dataset size is about `2,610,605,981` bytes.","public labels exist, but the package is a VLM benchmark dataset rather than an attack score/response packet"
dataset_files,partial,"HF dataset tree lists seven large parquet shards under `data/`: three instruction-tuning shards, two projector-pretrain shards, and two vision-encoder-pretrain shards; no score CSV, ROC table, metric JSON, or generated response packet was listed in the no-download tree check.","large labeled dataset shards are present; no ready row-bound attack-result artifact is present"
model_identity,partial,"`git ls-remote https://huggingface.co/paper-2229/openclip-llava HEAD refs/heads/*` returned `8c57a060bd4f2fe6cfe403cbf673f693ff00da26` on 2026-06-09.","HF model identity is fixed for this check"
model_tree,partial,"HF model tree lists config/tokenizer files and seven large safetensor shards; model README lists base models `laion/CLIP-ViT-H-14-laion2B-s32B-b79K` and `lmsys/vicuna-7b-v1.5`.","public model checkpoint exists, but it is not a row-bound attack result"
runtime_score_path,fail,"Raw `main.py` computes AUC and TPR@5%FPR from runtime `evaluation_results_<timestamp>.pkl`, then saves a local CSV score table; configs point to the three HF dataset splits and `paper-2229/openclip-llava`.","score tables are runtime outputs, not committed public row-bound score/response artifacts"
consumer_boundary,fail,"The task is controlled VLM membership inference, not image-diffusion membership auditing; current Direction A requires image-diffusion score/response or admitted-support surfaces.","wrong current consumer lane"
admission_decision,fail,"future VLM controlled-benchmark scout only; public labels/model/code but no public row-bound attack-score/response metric packet in the current lane; no_compute_release","do not admit, do not add to C14/N50, do not count as second public score/response asset, do not release compute"
