global_index,sample_index,image_path,file_name,label,label_name,source,caption,score,low_score,threshold,prediction,prediction_name,correct
0,0,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000015.jpg,laion_000000015.jpg,1,member,LAION-5B member subset,"Thomas W. Schaller, Horyu-ji Temple, Nara, watercolor, 14 x 22.",0.41629865741022937,-0.41629865741022937,0.2720070144474646,1,member,1
1,1,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000008.jpg,laion_000000008.jpg,1,member,LAION-5B member subset,Amazing watercolor paintings by Thomas W. Schaller,0.41988882953714474,-0.41988882953714474,0.2720070144474646,1,member,1
2,2,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000004.jpg,laion_000000004.jpg,1,member,LAION-5B member subset,"Dmitri Danish - Street at Night. For more information about the Danish collection, please visit our website siennafineart.com or call 305.600.4484",0.3829758061660062,-0.3829758061660062,0.2720070144474646,1,member,1
3,3,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000003.jpg,laion_000000003.jpg,1,member,LAION-5B member subset,"Dmitri Danish - Street at Night. For more information about the Danish collection, please visit our website siennafineart.com or call 305.600.4484",0.14554802427823205,-0.14554802427823205,0.2720070144474646,0,nonmember,0
4,4,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000010.jpg,laion_000000010.jpg,1,member,LAION-5B member subset,"""""""Morning in Zemun"""" by Dusan Djukaric who is a very respected and esteemed master of watercolor painting. - Serbia""",0.5621676380865731,-0.5621676380865731,0.2720070144474646,1,member,1
5,5,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000022.jpg,laion_000000022.jpg,1,member,LAION-5B member subset,"A Summer Day in Grasse, France",0.49473683224610304,-0.49473683224610304,0.2720070144474646,1,member,1
6,6,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000013.jpg,laion_000000013.jpg,1,member,LAION-5B member subset,"""""""""""""""Morning in Zemun"""""""" by Dusan Djukaric who is a very respected and esteemed master of watercolor painting. - Serbia""""""",0.27485243498886197,-0.27485243498886197,0.2720070144474646,1,member,1
7,7,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000023.jpg,laion_000000023.jpg,1,member,LAION-5B member subset,Figurative Paintings by Nick Alm from Sweden.,0.5493878948605607,-0.5493878948605607,0.2720070144474646,1,member,1
8,8,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000044.jpg,laion_000000044.jpg,1,member,LAION-5B member subset,Steps of Girona - Spain  24x18 inches  2015 by Thomas Wells Schaller,-0.16664956269506553,0.16664956269506553,0.2720070144474646,0,nonmember,0
9,9,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000052.jpg,laion_000000052.jpg,1,member,LAION-5B member subset,"Sunny Day, Paris by Joseph Zbukvic - Greenhouse Gallery of Fine Art",0.37247276924675793,-0.37247276924675793,0.2720070144474646,1,member,1
10,10,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000054.jpg,laion_000000054.jpg,1,member,LAION-5B member subset,"Sunny Day, Paris by Joseph Zbukvic - Greenhouse Gallery of Fine Art",0.1740091899368245,-0.1740091899368245,0.2720070144474646,0,nonmember,0
11,11,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000061.jpg,laion_000000061.jpg,1,member,LAION-5B member subset,Painting - Dingle Harbour  Kerry by Val Byrne,0.11130738855912464,-0.11130738855912464,0.2720070144474646,0,nonmember,0
12,12,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000057.jpg,laion_000000057.jpg,1,member,LAION-5B member subset,Rural history - A depiction of rural life in 19th-century France by the artist Daniel Ridgway Knight,0.6113906849701698,-0.6113906849701698,0.2720070144474646,1,member,1
13,13,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000045.jpg,laion_000000045.jpg,1,member,LAION-5B member subset,Partick Sunset. Original watercolour by Martin Oates 48 x 68 cm P.O.A.,0.2880639697120952,-0.2880639697120952,0.2720070144474646,1,member,1
14,14,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000069.jpg,laion_000000069.jpg,1,member,LAION-5B member subset,Dan Marshall: Cityscapes in Watercolor,0.5251847267291939,-0.5251847267291939,0.2720070144474646,1,member,1
15,15,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000046.jpg,laion_000000046.jpg,1,member,LAION-5B member subset,In the Realm of Twilight – Evgeny Lushpin   USA Art News,-0.5753203962986709,0.5753203962986709,0.2720070144474646,0,nonmember,0
16,16,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000062.jpg,laion_000000062.jpg,1,member,LAION-5B member subset,"""""""The narrow maze of"""" Venice. - Painting,  60x30 cm ©2015 by Shalaev Alexey -                                                            Impressionism, Canvas, Cities, Italy,  Venice,  the old city,  a tourist paradise,  sunlight""",0.3998077702883759,-0.3998077702883759,0.2720070144474646,1,member,1
17,17,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000001.jpg,laion_000000001.jpg,1,member,LAION-5B member subset,#WorldWatercolorGroup - Watercolour Painting by Baha Börü - Doodlewash,0.2960019843554289,-0.2960019843554289,0.2720070144474646,1,member,1
18,18,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000070.jpg,laion_000000070.jpg,1,member,LAION-5B member subset,Dan Marshall: Cityscapes in Watercolor,0.04236729522330585,-0.04236729522330585,0.2720070144474646,0,nonmember,0
19,19,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000048.jpg,laion_000000048.jpg,1,member,LAION-5B member subset,Thierry Duval – private collection. Title: Un marché des 4 saisons rue Montmartre. Date: after 2010. Materials: watercolor. Dimensions: 40 x 40 cm. Source: http://www.galerie-com.com/oeuvre/-un-marche-des-4-saisons-rue-montmartre-/211569/,0.45608997255296646,-0.45608997255296646,0.2720070144474646,1,member,1
20,20,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000063.jpg,laion_000000063.jpg,1,member,LAION-5B member subset,"Afternoon in Poissy, c.1900, Oil on Canvas",0.4004783179885653,-0.4004783179885653,0.2720070144474646,1,member,1
21,21,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000078.jpg,laion_000000078.jpg,1,member,LAION-5B member subset,30 Beautiful Paintings by S Ilayaraja | A Must See,0.2142915261736122,-0.2142915261736122,0.2720070144474646,0,nonmember,0
22,22,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000080.jpg,laion_000000080.jpg,1,member,LAION-5B member subset,"Dmitri Danish - 6 Artworks, Bio & Shows on Artsy",0.13098183616566123,-0.13098183616566123,0.2720070144474646,0,nonmember,0
23,23,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000086.jpg,laion_000000086.jpg,1,member,LAION-5B member subset,08-Firenze-Kal-Gajoum-Paintings-of-Dream-Like Cities-of-the-World-www-designstack-co,0.2500629205495338,-0.2500629205495338,0.2720070144474646,0,nonmember,0
24,24,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000081.jpg,laion_000000081.jpg,1,member,LAION-5B member subset,Parisian Cafe 2001 Embellished Limited Edition Print - Sam Park,0.12729398676114004,-0.12729398676114004,0.2720070144474646,0,nonmember,0
25,25,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000083.jpg,laion_000000083.jpg,1,member,LAION-5B member subset,Dmitri Danish - dmitri danish original painting,0.784875148390675,-0.784875148390675,0.2720070144474646,1,member,1
26,26,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000073.jpg,laion_000000073.jpg,1,member,LAION-5B member subset,landscape An evening journey street city painting eveni,0.36715178175546986,-0.36715178175546986,0.2720070144474646,1,member,1
27,27,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000087.jpg,laion_000000087.jpg,1,member,LAION-5B member subset,Vladislav Yeliseyev In 2019 Watercolor Paintings Watercolor Art,0.4294787675646721,-0.4294787675646721,0.2720070144474646,1,member,1
28,28,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000082.jpg,laion_000000082.jpg,1,member,LAION-5B member subset,Parisian Cafe 2001 Embellished  Limited Edition Print - Sam Park,0.42923411026619634,-0.42923411026619634,0.2720070144474646,1,member,1
29,29,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000092.jpg,laion_000000092.jpg,1,member,LAION-5B member subset,"""Artist and Sons by Warren Chang Oil ~ 40"""" x 32""""""",0.4299099964475355,-0.4299099964475355,0.2720070144474646,1,member,1
30,30,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000091.jpg,laion_000000091.jpg,1,member,LAION-5B member subset,Vladislav Yeliseyev In 2019 Watercolor Paintings Watercolor Art,0.4298888852976129,-0.4298888852976129,0.2720070144474646,1,member,1
31,31,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000094.jpg,laion_000000094.jpg,1,member,LAION-5B member subset,Watercolor Painting by Ron Stocke - #WorldWatercolorMonth - Doodlewash,0.36321972626354887,-0.36321972626354887,0.2720070144474646,1,member,1
32,32,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000088.jpg,laion_000000088.jpg,1,member,LAION-5B member subset,08-Firenze-Kal-Gajoum-Paintings-of-Dream-Like Cities-of-the-World-www-designstack-co,0.31458595909229975,-0.31458595909229975,0.2720070144474646,1,member,1
33,33,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000093.jpg,laion_000000093.jpg,1,member,LAION-5B member subset,Watercolor Painting by Ron Stocke - #WorldWatercolorMonth - Doodlewash,-0.09703717246861202,0.09703717246861202,0.2720070144474646,0,nonmember,0
34,34,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000021.jpg,laion_000000021.jpg,1,member,LAION-5B member subset,Shuang Li Morning Stroll Tuscany Italy Watercolor On Paper 22,0.5926340020673422,-0.5926340020673422,0.2720070144474646,1,member,1
35,35,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000079.jpg,laion_000000079.jpg,1,member,LAION-5B member subset,Albert Lynch - Women Taking Tea,-0.007004770412839596,0.007004770412839596,0.2720070144474646,0,nonmember,0
36,36,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000089.jpg,laion_000000089.jpg,1,member,LAION-5B member subset,Prague Towers by Yuriy Shevchuk,0.42945102947307917,-0.42945102947307917,0.2720070144474646,1,member,1
37,37,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000095.jpg,laion_000000095.jpg,1,member,LAION-5B member subset,"""Saatchi Art Artist Barbara Jaskiewicz; Painting, """"Morning in Aix-en-Provence"""" #art""",0.42961437486427384,-0.42961437486427384,0.2720070144474646,1,member,1
38,38,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000106.jpg,laion_000000106.jpg,1,member,LAION-5B member subset,Rome Painting,0.4295933768624652,-0.4295933768624652,0.2720070144474646,1,member,1
39,39,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000105.jpg,laion_000000105.jpg,1,member,LAION-5B member subset,11-Post-St-Downpour-Jeremy-Mann-Figurative-Painting-in-Cityscapes-Oil-Paintings-www-designstack-co,-0.3691104660731421,0.3691104660731421,0.2720070144474646,0,nonmember,0
40,40,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000120.jpg,laion_000000120.jpg,1,member,LAION-5B member subset,"""""""Old Dehli Alleyway""""""",-0.5694825902666562,0.5694825902666562,0.2720070144474646,0,nonmember,0
41,41,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000109.jpg,laion_000000109.jpg,1,member,LAION-5B member subset,Cityscapes in Watercolor with Dan Marshall,0.33693545325179314,-0.33693545325179314,0.2720070144474646,1,member,1
42,42,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000114.jpg,laion_000000114.jpg,1,member,LAION-5B member subset,Astrid Berges-Frisbey (study) by sharandula on DeviantArt ★ Find more at http://www.pinterest.com/competing,0.25307659912121744,-0.25307659912121744,0.2720070144474646,0,nonmember,0
43,43,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000113.jpg,laion_000000113.jpg,1,member,LAION-5B member subset,Original Watercolor of Bogel Vineyards,0.18117825163300344,-0.18117825163300344,0.2720070144474646,0,nonmember,0
44,44,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000127.jpg,laion_000000127.jpg,1,member,LAION-5B member subset,Chambers Street - NYC  30x22 inches  2013 by Thomas Wells Schaller,-0.44034759778576776,0.44034759778576776,0.2720070144474646,0,nonmember,0
45,45,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000126.jpg,laion_000000126.jpg,1,member,LAION-5B member subset,Cityscapes in Watercolor with Dan Marshall,0.3432060400808374,-0.3432060400808374,0.2720070144474646,1,member,1
46,46,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000135.jpg,laion_000000135.jpg,1,member,LAION-5B member subset,"Rex Beanland, 4th Street, A Calgary Moment, watercolour, 18 X 24",0.38637846376724744,-0.38637846376724744,0.2720070144474646,1,member,1
47,47,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000133.jpg,laion_000000133.jpg,1,member,LAION-5B member subset,"""Joel R. Johnson /  Stairway Cinque Terre / Size: 27x45"""" / Watercolor Painting""",0.42579689485699673,-0.42579689485699673,0.2720070144474646,1,member,1
48,48,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000139.jpg,laion_000000139.jpg,1,member,LAION-5B member subset,"""""""Joel R. Johnson /  Stairway Cinque Terre / Size: 27x45"""""""" / Watercolor Painting""""""",-1.4791050131053263,1.4791050131053263,0.2720070144474646,0,nonmember,0
49,49,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000144.jpg,laion_000000144.jpg,1,member,LAION-5B member subset,Thomas W. Schaller: Architect of Light - Watercolor Paintings by a Master Hardcover Book,0.41766076487541454,-0.41766076487541454,0.2720070144474646,1,member,1
50,50,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000142.jpg,laion_000000142.jpg,1,member,LAION-5B member subset,"""""""Post Street Downpour"""" ... by Jeremy Mann""",0.39031020596774085,-0.39031020596774085,0.2720070144474646,1,member,1
51,51,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000146.jpg,laion_000000146.jpg,1,member,LAION-5B member subset,"Dmitri Danish - Rainy Venice. For more information about the Danish collection, please visit our website siennafineart.com or call 305.600.4484",0.4772888688852053,-0.4772888688852053,0.2720070144474646,1,member,1
52,52,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000147.jpg,laion_000000147.jpg,1,member,LAION-5B member subset,Europe Painting - Passages Back In Time by Sue Zimmermann,0.5833801563265264,-0.5833801563265264,0.2720070144474646,1,member,1
53,53,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000154.jpg,laion_000000154.jpg,1,member,LAION-5B member subset,"cassis france, cassis, jennifer fyfe, jen fyfe artist, australian artist, french impressionism, town square, cassis locals, shade, sunshine, female artists",-0.029771570823715114,0.029771570823715114,0.2720070144474646,0,nonmember,0
54,54,E:\stable_diffusion\coco_data_like_submit_20260516\stable_diffusion_data\images-random\laion_000000137.jpg,laion_000000137.jpg,1,member,LAION-5B member subset,"La lecon de chant. Delphin Enjolras (French, 1857-1945). Oil on canvas",-0.4894025343346567,0.4894025343346567,0.2720070144474646,0,nonmember,0
