pilot_id,title,n_reviewers,reviewers,target_gate_majority,target_gate_tie,target_gate_all_agree,target_gate_labels,split_gate_majority,split_gate_tie,split_gate_all_agree,split_gate_labels,score_or_response_gate_majority,score_or_response_gate_tie,score_or_response_gate_all_agree,score_or_response_gate_labels,metric_gate_majority,metric_gate_tie,metric_gate_all_agree,metric_gate_labels,provenance_gate_majority,provenance_gate_tie,provenance_gate_all_agree,provenance_gate_labels,consumer_or_delta_gate_majority,consumer_or_delta_gate_tie,consumer_or_delta_gate_all_agree,consumer_or_delta_gate_labels,allowed_wording_majority,allowed_wording_tie,allowed_wording_all_agree,allowed_wording_labels
E2P-001,Reportable bundle,3,A;B;C,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,admitted,0,1,A=admitted;B=admitted;C=admitted
E2P-002,H2 output-cloud geometry,3,A;B;C,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,0,A=Pass;B=Partial;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,candidate-only,0,1,A=candidate-only;B=candidate-only;C=candidate-only
E2P-003,CLiD official inter-output,3,A;B;C,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,Partial,0,0,A=Partial;B=Pass;C=Partial,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,0,A=Partial;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,candidate-only,0,1,A=candidate-only;B=candidate-only;C=candidate-only
E2P-004,CopyMark official score artifacts,3,A;B;C,Partial,0,1,A=Partial;B=Partial;C=Partial,Partial,0,1,A=Partial;B=Partial;C=Partial,Partial,0,0,A=Partial;B=Pass;C=Partial,Partial,0,0,A=Partial;B=Pass;C=Partial,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,0,A=Partial;B=Fail;C=Fail,bounded-support,0,1,A=bounded-support;B=bounded-support;C=bounded-support
E2P-005,ReDiffuse STL-10 scout,3,A;B;C,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Partial,0,0,A=Partial;B=Partial;C=Pass,Fail,0,0,A=Fail;B=Fail;C=Partial,bounded-support,0,0,A=candidate-only;B=bounded-support;C=bounded-support
E2P-006,Separately supplied SD ReDiffuse,3,A;B;C,Partial,0,1,A=Partial;B=Partial;C=Partial,Partial,0,0,A=Fail;B=Partial;C=Partial,Pass,0,1,A=Pass;B=Pass;C=Pass,Pass,0,1,A=Pass;B=Pass;C=Pass,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,candidate-only,0,1,A=candidate-only;B=candidate-only;C=candidate-only
E2P-007,GUARD surgical mitigation,3,A;B;C,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,0,A=Partial;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,blocked,0,0,A=blocked;B=candidate-only;C=blocked
E2P-008,Discrete DLM withdrawn paper,3,A;B;C,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,blocked,0,1,A=blocked;B=blocked;C=blocked
E2P-009,fseclab-osaka/mia-diffusion,3,A;B;C,Partial,0,1,A=Partial;B=Partial;C=Partial,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,Partial,0,1,A=Partial;B=Partial;C=Partial,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,candidate-only,0,1,A=candidate-only;B=candidate-only;C=candidate-only
E2P-010,Divya1201/diffusion-privacy-attacks,3,A;B;C,Partial,0,1,A=Partial;B=Partial;C=Partial,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,0,A=Partial;B=Fail;C=Fail,Partial,0,1,A=Partial;B=Partial;C=Partial,Fail,0,1,A=Fail;B=Fail;C=Fail,candidate-only,0,1,A=candidate-only;B=candidate-only;C=candidate-only
E2P-011,Towards More Realistic Membership Inference Attacks on Large Diffusion Models,3,A;B;C,Partial,0,0,A=Partial;B=Partial;C=Fail,Fail,0,0,A=Fail;B=N/A;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,Fail,0,0,A=Partial;B=Fail;C=Fail,Fail,0,1,A=Fail;B=Fail;C=Fail,candidate-only,0,0,A=candidate-only;B=candidate-only;C=blocked
