id,candidate,stratum,source_note,public_surface,modality_or_domain,artifact_type,target_gate,split_gate,evidence_gate,metric_gate,boundary_gate,delta_gate,primary_failure,paper_role,download_policy
v0-01,Admitted bundle,positive-control,docs/evidence/admitted-results-summary.md,five machine-readable admitted rows,image diffusion,admitted metric bundle,Pass,Pass,Pass,Pass,Pass,Partial,none,audit-ready positive control,no download
v0-02,H2 output-cloud geometry,mechanism-candidate,docs/evidence/h2-output-cloud-geometry-20260525.md,existing H2 response caches,image diffusion response cloud,response cache plus replayed metrics,Pass,Pass,Pass,Pass,Partial,Partial,consumer-boundary mismatch,controlled candidate mechanism,no download
v0-03,H2 img2img portability,boundary-negative,docs/evidence/h2-img2img-output-cloud-portability-20260525.md,existing SD/CelebA img2img response caches,image diffusion img2img,response cache plus replayed metrics,Pass,Pass,Pass,Pass,Fail,Pass,weak portability,boundary-negative result,no download
v0-04,CLiD official inter-output,positive-non-admitted,docs/evidence/clid-identity-manifest-gate-20260515.md,official inter-output score files,text-to-image diffusion,score files,Partial,Partial,Pass,Pass,Partial,Pass,row-binding gap,positive score packet with image-identity gap,no download
v0-05,Tracing the Roots,positive-non-admitted,docs/evidence/tracing-roots-feature-packet-mia-20260515.md,OpenReview feature tensors and replay code,diffusion trajectory features,feature packet,Partial,Pass,Pass,Pass,Partial,Pass,raw provenance gap,positive feature-packet evidence,no download
v0-06,CopyMark official score artifacts,artifact-rich-partial,docs/evidence/copymark-official-score-artifact-gate-20260515.md,official result JSON/image logs/score tensors,text-to-image copying or membership-adjacent,score artifacts,Partial,Partial,Partial,Partial,Partial,Pass,row-binding gap,artifact availability vs auditability case,no download
v0-07,ReDiffuse STL-10 scout,bounded-negative,docs/evidence/rediffuse-stl10-bounded-scout-20260525.md,exact split plus bounded local score packet,image diffusion DDPM/STL-10,split plus local score packet,Pass,Pass,Pass,Pass,Fail,Pass,weak transferred signal,bounded negative with clean split,no download
v0-08,CommonCanvas response packet,bounded-negative,docs/evidence/commoncanvas-denoising-loss-20260513.md; workspaces/black-box/artifacts/commoncanvas-denoising-loss-20260513.json,real 50/50 query-response contract,text-to-image response contract,response packet,Partial,Pass,Pass,Pass,Fail,Pass,weak transferred signal,second-response negative,no download
v0-09,MIDST Blending++,bounded-negative,docs/evidence/midst-blending-plus-plus-scout-20260515.md,official score exports plus local labels,tabular diffusion,score exports,Partial,Pass,Pass,Pass,Partial,Pass,weak transferred signal,cross-domain negative/support,no download
v0-10,Stable Diffusion ReDiffuse collaborator,source-confounded,docs/evidence/stable-diffusion-rediffuse-collaborator-artifact-20260517.md,local 5000-row packet and ROC files,stable diffusion black-box,collaborator score packet,Partial,Partial,Pass,Pass,Fail,Pass,source confounding,source-confounding case,no download
v0-11,Quantile/SecMI public packet,support-only,docs/evidence/quantile-diffusion-mia-secmia-terror-replay-20260515.md,third-party t_error score rows and splits,image diffusion SecMI-style support,score packet,Partial,Pass,Pass,Pass,Partial,Partial,same-family support only,support-only public score packet,no download
v1-01,Identity-Focused Inference / Extraction,metadata-only-no-artifact,docs/evidence/identity-focused-inference-extraction-artifact-gate-20260523.md,arXiv 2410.10177v1; no official repository found,identity-level face diffusion privacy,paper source and metadata,Fail,Fail,Fail,Fail,Fail,Pass,semantic boundary plus missing row artifacts,metadata-only no-artifact case,no download
