pilot_id,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,D,Pass,Pass,Pass,Pass,Pass,Pass,admitted,,"Admitted bundle identifies targets, splits, row metrics, evidence level, limitations, and downstream bundle boundary."
E2P-002,D,Pass,Pass,Pass,Pass,Partial,Fail,bounded-support,consumer_or_delta_gate,"Response caches and replayed metrics support a bounded Research-side mechanism claim, but the note explicitly says no admitted row or product contract."
E2P-003,D,Partial,Fail,Pass,Partial,Partial,Fail,candidate-only,split_gate,"Official numeric inter-output scores exist, but rows cannot be bound to immutable COCO image IDs, captions, or member/nonmember manifest."
E2P-004,D,Partial,Partial,Partial,Partial,Partial,Fail,bounded-support,consumer_or_delta_gate,"Official logs, aggregate JSONs, and some tensors support score-artifact context, but no compact row manifest binds image ID, split role, checkpoint hash, score, and verifier."
E2P-005,D,Pass,Pass,Pass,Pass,Partial,Partial,bounded-support,provenance_gate,"Exact STL-10 split and local row score packet support a bounded negative scout result, not Platform or Runtime admission."
E2P-006,D,Partial,Pass,Pass,Pass,Partial,Fail,candidate-only,target_gate,"The 5000-row packet is replayable, but collaborator-local provenance and source-label confounding block a strict same-distribution membership or admitted audit claim."
E2P-007,D,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"Official current code exists for a mitigation mechanism, but there are no committed row-bound pre/post scores, generated packets, metric JSON, or verifier outputs."
E2P-008,D,Fail,Fail,Fail,Fail,Fail,Fail,blocked,target_gate,"Withdrawn arXiv metadata only; no current PDF, official code, target artifact, split manifest, score packet, or verifier."
E2P-009,D,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"Template reports code and deterministic split construction, but no checkpoint-bound committed score or manifest packet."
E2P-010,D,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"Relevant public code and attack/evaluation modules exist, but no committed row scores, response packet, metric packet, or manifest."
E2P-011,D,Fail,Fail,Fail,Fail,Partial,Fail,blocked,target_gate,"ArXiv metadata only in this batch; no visible artifact surface for target, split, scores, or metrics."
E2P-012,D,Fail,Fail,Fail,Fail,Partial,Fail,blocked,target_gate,"ArXiv metadata only in this batch; no visible artifact surface for target, split, scores, or metrics."
E2P-013,D,Pass,Pass,Fail,Fail,Partial,Partial,bounded-support,score_or_response_gate,"Public LAION-MI dataset surface exposes member/nonmember shards and row counts, supporting reproduction-context claims but not row-bound attack scores or metrics."
E2P-014,D,Pass,Pass,Fail,Fail,Partial,Partial,bounded-support,score_or_response_gate,"Official SecMI code, split npz files, stats, and model links support a reproduction-context claim, but the row lacks committed score rows or verifier metrics."
E2P-015,D,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,score_or_response_gate,"MIDM repository documents preprocessing, pretrained model link, and attack scripts, but the template exposes no committed row-bound scores, metrics, or verifier packet."
