pilot_id,title,field,labels,first_blockers,notes
E2P-002,H2 output-cloud geometry,split_gate,A=Pass;B=Partial;C=Pass,A=no admitted row or product contract; B=no admitted row; C=no admitted row or product contract,"A: Strong local response-cache mechanism evidence but explicitly not a Platform or Runtime consumable row. | B: Strong H2 output-cloud geometry candidate with response caches and replayed metrics, but note explicitly says no Platform/Runtime contract or admitted row. | C: Strong H2 output-cloud mechanism candidate with score/metric artifacts and controls, but note explicitly says no admitted row, no second public asset, and no Platform/Runtime contract."
E2P-003,CLiD official inter-output,score_or_response_gate,A=Partial;B=Pass;C=Partial,A=identity manifest missing; B=identity manifest missing; C=identity manifest missing,"A: Official numeric score files exist but public rows cannot be bound to COCO image or caption identities. | B: Official numeric score files exist, but rows cannot be bound to immutable COCO image IDs, captions, split IDs, or public member/nonmember manifest. | C: Official numeric score files exist, but rows cannot be bound to COCO image IDs, captions, split IDs, or a public member/nonmember manifest; gated ZIP remains inaccessible."
E2P-003,CLiD official inter-output,provenance_gate,A=Partial;B=Fail;C=Fail,A=identity manifest missing; B=identity manifest missing; C=identity manifest missing,"A: Official numeric score files exist but public rows cannot be bound to COCO image or caption identities. | B: Official numeric score files exist, but rows cannot be bound to immutable COCO image IDs, captions, split IDs, or public member/nonmember manifest. | C: Official numeric score files exist, but rows cannot be bound to COCO image IDs, captions, split IDs, or a public member/nonmember manifest; gated ZIP remains inaccessible."
E2P-004,CopyMark official score artifacts,score_or_response_gate,A=Partial;B=Pass;C=Partial,A=no single row-ID-bound score manifest; B=row-ID-bound manifest missing; C=row-ID-bound manifest and checkpoint provenance missing,"A: Official artifacts support research discussion but lack compact hash-bound target split and verifier contract. | B: Official CopyMark logs, metric JSONs, and some score tensors support Research-side artifact evidence, but no compact row-bound score manifest or checkpoint hash. | C: Official CopyMark artifacts provide useful support evidence, but aggregate metrics/logs/tensors are not a compact immutable row-bound score packet with checkpoint hashes and verifier command."
E2P-004,CopyMark official score artifacts,metric_gate,A=Partial;B=Pass;C=Partial,A=no single row-ID-bound score manifest; B=row-ID-bound manifest missing; C=row-ID-bound manifest and checkpoint provenance missing,"A: Official artifacts support research discussion but lack compact hash-bound target split and verifier contract. | B: Official CopyMark logs, metric JSONs, and some score tensors support Research-side artifact evidence, but no compact row-bound score manifest or checkpoint hash. | C: Official CopyMark artifacts provide useful support evidence, but aggregate metrics/logs/tensors are not a compact immutable row-bound score packet with checkpoint hashes and verifier command."
E2P-004,CopyMark official score artifacts,consumer_or_delta_gate,A=Partial;B=Fail;C=Fail,A=no single row-ID-bound score manifest; B=row-ID-bound manifest missing; C=row-ID-bound manifest and checkpoint provenance missing,"A: Official artifacts support research discussion but lack compact hash-bound target split and verifier contract. | B: Official CopyMark logs, metric JSONs, and some score tensors support Research-side artifact evidence, but no compact row-bound score manifest or checkpoint hash. | C: Official CopyMark artifacts provide useful support evidence, but aggregate metrics/logs/tensors are not a compact immutable row-bound score packet with checkpoint hashes and verifier command."
E2P-005,ReDiffuse STL-10 scout,provenance_gate,A=Partial;B=Partial;C=Pass,A=weak signal and no consumer admission; B=weak membership signal; C=weak signal and bounded scout scope,"A: Executable bounded scout with score packet but result is effectively random and should not support a positive audit claim. | B: Bounded local STL-10 scout produced a split and row-level score packet, but AUC is random-level and the note explicitly rejects Platform/Runtime promotion. | C: Exact STL-10 split and local score packet support a bounded negative scout conclusion, not a reportable membership-evidence row or paper-level reproduction."
E2P-005,ReDiffuse STL-10 scout,consumer_or_delta_gate,A=Fail;B=Fail;C=Partial,A=weak signal and no consumer admission; B=weak membership signal; C=weak signal and bounded scout scope,"A: Executable bounded scout with score packet but result is effectively random and should not support a positive audit claim. | B: Bounded local STL-10 scout produced a split and row-level score packet, but AUC is random-level and the note explicitly rejects Platform/Runtime promotion. | C: Exact STL-10 split and local score packet support a bounded negative scout conclusion, not a reportable membership-evidence row or paper-level reproduction."
E2P-005,ReDiffuse STL-10 scout,allowed_wording,A=candidate-only;B=bounded-support;C=bounded-support,A=weak signal and no consumer admission; B=weak membership signal; C=weak signal and bounded scout scope,"A: Executable bounded scout with score packet but result is effectively random and should not support a positive audit claim. | B: Bounded local STL-10 scout produced a split and row-level score packet, but AUC is random-level and the note explicitly rejects Platform/Runtime promotion. | C: Exact STL-10 split and local score packet support a bounded negative scout conclusion, not a reportable membership-evidence row or paper-level reproduction."
E2P-006,Separately supplied SD ReDiffuse,split_gate,A=Fail;B=Partial;C=Partial,A=source-label confounding; B=not a public immutable same-distribution asset; C=source-confounded member label,"A: Replayable collaborator packet exists but it is not public immutable evidence and member labels are perfectly aligned with source domain. | B: Transferred 5000-row packet is internally replayable, but collaborator-local provenance and LAION-vs-COCO source-label confounding block admission. | C: The 5000-row packet is replayable, but it is collaborator-local, not public immutable, lacks strict paper split provenance, and member/nonmember label is perfectly aligned with LAION-vs-COCO source."
