pilot_id,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,A,Pass,Pass,Pass,Pass,Pass,Pass,admitted,,"Verified reportable bundle with row metrics and downstream consumer boundary."
E2P-002,A,Pass,Pass,Pass,Pass,Partial,Fail,candidate-only,no admitted row or product contract,"Strong local response-cache mechanism evidence but explicitly not a Platform or Runtime consumable row."
E2P-003,A,Partial,Fail,Partial,Partial,Partial,Fail,candidate-only,identity manifest missing,"Official numeric score files exist but public rows cannot be bound to COCO image or caption identities."
E2P-004,A,Partial,Partial,Partial,Partial,Partial,Partial,bounded-support,no single row-ID-bound score manifest,"Official artifacts support research discussion but lack compact hash-bound target split and verifier contract."
E2P-005,A,Pass,Pass,Pass,Pass,Partial,Fail,candidate-only,weak signal and no consumer admission,"Executable bounded scout with score packet but result is effectively random and should not support a positive audit claim."
E2P-006,A,Partial,Fail,Pass,Pass,Partial,Fail,candidate-only,source-label confounding,"Replayable collaborator packet exists but it is not public immutable evidence and member labels are perfectly aligned with source domain."
E2P-007,A,Fail,Fail,Fail,Fail,Partial,Fail,blocked,no score artifacts,"Official code-public mitigation context only; no row manifest response packet metrics or bounded verifier."
E2P-008,A,Fail,Fail,Fail,Fail,Fail,Fail,blocked,withdrawn paper and no artifacts,"Withdrawn arXiv metadata only with no current PDF official code split manifest score packet or verifier."
E2P-009,A,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,no checkpoint-bound score packet,"Code and deterministic split construction are visible but no reusable score or response packet is committed."
E2P-010,A,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,no committed score or manifest packet,"Repository appears executable but observed files do not include row-bound results or immutable audit artifacts."
E2P-011,A,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,arXiv metadata only,"Paper metadata alone cannot bind target split score rows or recomputable metrics."
E2P-012,A,Partial,Fail,Fail,Fail,Partial,Fail,candidate-only,arXiv metadata only,"Paper metadata alone cannot bind target split score rows or recomputable metrics."
E2P-013,A,Partial,Pass,Fail,Fail,Pass,Partial,bounded-support,no row-bound model score or response packet,"Dataset gives member and nonmember shards for the paper setup but not checkpoint-bound attack scores or recomputable audit metrics."
E2P-014,A,Partial,Pass,Fail,Partial,Partial,Partial,bounded-support,no committed score packet,"Official implementation and split files are visible but observed surface lacks committed row-bound scores for audit admission."
E2P-015,A,Partial,Partial,Fail,Partial,Partial,Partial,bounded-support,no committed reusable score packet,"README documents member indices pretrained model link and attack outputs but observed surface does not provide immutable row-bound scores."
