item,status,evidence,decision_value
github_api_refresh,fail,"GitHub REST API returned unauthenticated rate-limit errors during the 2026-06-07 refresh; this check used raw.githubusercontent.com, GitHub HTML pages, and the prior 2026-05-15 evidence gate instead","do not claim a fresh full recursive tree audit from this row"
main_readme,pass,"https://raw.githubusercontent.com/bensterl15/MIAHOLD/main/README.md identifies the repo as the official HOLD++ membership-privacy codebase with toy and audio examples","paper/code link can over-promote a defense result if not checked against score artifacts"
audio_readme,pass,"MIAHOLD/audio_application/README.md is largely the upstream Grad-TTS README and points to Google Drive Grad-TTS and HiFi-GAN checkpoints plus training and inference commands","checkpoint and dataset acquisition is required; not a frozen public packet"
audio_split_filelists,pass,"GitHub HTML for MIAHOLD/audio_application/split exposes LJSpeech and LibriTTS train valid test text-file surfaces","split filelists are useful public metadata but not checkpoint-bound membership scores"
audio_attack_scores,fail,"audio_application/attack.py loads a local checkpoint, computes BinaryAUROC/BinaryROC from train/test loaders, prints max AUC/tpr, and logs validation/AUROC_max plus validation/tpr_fpr_max to W&B","scores and ROC arrays are runtime products, not committed row-bound artifacts"
cifar_readme,pass,"https://raw.githubusercontent.com/bensterl15/MIAHOLDCIFAR/main/README.md is primarily the CLD-SGM README and points to Google Drive CIFAR/CelebA checkpoints and training/evaluation commands","CIFAR branch is runnable but still checkpoint/data acquisition oriented"
cifar_hold_config,pass,"configs/specific_cifar10.txt sets sde=hold and model_order=3","confirms a real higher-order Langevin configuration path"
cifar_split_rule,pass,"util/datasets.py downloads torchvision CIFAR-10 and subsets the first 128 train rows and first 128 validation rows in code","code-level split rule is not an immutable manifest bound to a released target and score packet"
cifar_pia_score_artifacts,fail,"pia.py collects train/validation images, computes ROC/AUC in memory, prints AUC, logs val/AUROC to W&B, and has ROC artifact saving commented out","metric code exists but no reusable score rows ROC arrays metric JSON or verifier are public"
github_releases,fail,"https://github.com/bensterl15/MIAHOLD/releases and https://github.com/bensterl15/MIAHOLDCIFAR/releases show no release assets visible","no release packet for checkpoint-bound scores or metrics"
score_metric_artifacts,fail,"Current visible public surfaces show code, split hints, configs, logs, and checkpoint instructions but no committed score CSV/JSON/NPY, ROC artifact, metric JSON, or no-training verifier","blocks response/score denominator and admitted defense evidence"
admission_decision,fail,"Keep as mixed-modality defense and metric-code false-promotion exemplar only; do not count as admitted row response/score asset external-audit denominator or compute release","use for measurement-route baseline tagging, not execution"
