pilot_id,reviewer,target_gate,split_gate,score_or_response_gate,metric_gate,provenance_gate,consumer_or_delta_gate,allowed_wording,first_blocker,notes
E2P-001,C,Pass,Pass,Pass,Pass,Pass,Pass,admitted,none,"Admitted bundle explicitly carries verified rows, metrics, evidence levels, quality/cost, limitations, and downstream consumer contract."
E2P-002,C,Pass,Pass,Pass,Pass,Partial,Fail,candidate-only,no admitted row or product contract,"Strong H2 output-cloud mechanism candidate with score/metric artifacts and controls, but note explicitly says no admitted row, no second public asset, and no Platform/Runtime contract."
E2P-003,C,Partial,Fail,Partial,Partial,Fail,Fail,candidate-only,identity manifest missing,"Official numeric score files exist, but rows cannot be bound to COCO image IDs, captions, split IDs, or a public member/nonmember manifest; gated ZIP remains inaccessible."
E2P-004,C,Partial,Partial,Partial,Partial,Partial,Fail,bounded-support,row-ID-bound manifest and checkpoint provenance missing,"Official CopyMark artifacts provide useful support evidence, but aggregate metrics/logs/tensors are not a compact immutable row-bound score packet with checkpoint hashes and verifier command."
E2P-005,C,Pass,Pass,Pass,Pass,Pass,Partial,bounded-support,weak signal and bounded scout scope,"Exact STL-10 split and local score packet support a bounded negative scout conclusion, not a reportable membership-evidence row or paper-level reproduction."
E2P-006,C,Partial,Partial,Pass,Pass,Partial,Fail,candidate-only,source-confounded member label,"The 5000-row packet is replayable, but it is collaborator-local, not public immutable, lacks strict paper split provenance, and member/nonmember label is perfectly aligned with LAION-vs-COCO source."
E2P-007,C,Fail,Fail,Fail,Fail,Fail,Fail,blocked,no score artifacts,"Official code is public and mechanism-relevant, but there are no row manifests, generated response packets, pre/post score rows, ROC arrays, metric JSON, retained-utility artifacts, or verifier output."
E2P-008,C,Fail,Fail,Fail,Fail,Fail,Fail,blocked,withdrawn paper metadata only,"Current arXiv record is withdrawn with no PDF, no official code, no target/split manifest, and no reusable score or response artifact."
E2P-009,C,Partial,Partial,Fail,Partial,Partial,Fail,candidate-only,no checkpoint-bound score packet,"Template reports code, attack scripts, deterministic split construction, and FID stats, but no committed checkpoint-bound score packet; code and splits alone do not support downstream report claims."
E2P-010,C,Partial,Partial,Fail,Fail,Partial,Fail,candidate-only,no committed score or manifest packet,"README and scripts suggest an executable attack surface, but no committed row scores, manifest packet, or metric provenance are present in the provided public fields."
E2P-011,C,Fail,Fail,Fail,Fail,Fail,Fail,blocked,arXiv metadata only,"Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-012,C,Fail,Fail,Fail,Fail,Fail,Fail,blocked,arXiv metadata only,"Only arXiv metadata is available in this batch; no artifact, split, score, metric provenance, or consumer-bound evidence is provided."
E2P-013,C,Partial,Pass,Fail,Fail,Partial,Fail,bounded-support,no row-score or metric artifact,"HF dataset fields support a published member/nonmember data split for the paper context, but there are no per-row scores, model response artifacts, or metric provenance for an audit/report claim."
E2P-014,C,Partial,Pass,Partial,Partial,Partial,Partial,bounded-support,no compact consumer-bound score manifest,"Official implementation, split files, measures/score folders, stats, and pretrained links support bounded reproduction context, but template does not establish a row-score manifest with target checkpoint and metric provenance sufficient for admitted downstream reporting."
E2P-015,C,Partial,Partial,Partial,Partial,Partial,Fail,candidate-only,target identity and artifact provenance incomplete,"MIDM README describes member/nonmember index generation and attack outputs, but the provided fields do not establish immutable target identity, committed row scores, metric provenance, or a consumer-ready report packet."
